T Isc Isc_fit DiffLength
2.921E+2 1.8124304E-4 1.8084793E-4 8.8021967E-5
2.959E+2 1.8240809E-4 1.8226490E-4 8.7617971E-5
2.999E+2 1.8394926E-4 1.8369199E-4 8.7211261E-5
3.040E+2 1.8515995E-4 1.8514331E-4 8.6797741E-5
3.079E+2 1.8640959E-4 1.8650510E-4 8.6409750E-5
3.120E+2 1.8769630E-4 1.8789976E-4 8.6012340E-5
3.159E+2 1.8866252E-4 1.8921701E-4 8.5636874E-5
3.199E+2 1.8997421E-4 1.9054314E-4 8.5258697E-5
3.239E+2 1.9168627E-4 1.9184036E-4 8.4888531E-5
3.279E+2 1.9293394E-4 1.9311639E-4 8.4524128E-5
3.320E+2 1.9423056E-4 1.9437595E-4 8.4164089E-5
3.360E+2 1.9596750E-4 1.9560765E-4 8.3811639E-5
3.400E+2 1.9722777E-4 1.9683620E-4 8.3459661E-5
3.440E+2 1.9838192E-4 1.9802638E-4 8.3118220E-5
