N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.019140665E+00 1.018026299E+00 1.017185101E+00 1.016515459E+00
1.600000000E+01 1.230841672E+00 1.224970661E+00 1.219520488E+00 1.215090435E+00
1.700000000E+01 1.233124793E+00 1.228176096E+00 1.224430639E+00 1.221689322E+00
1.549996187E+01 1.173653138E+00 1.162496047E+00 1.152692833E+00 1.143647143E+00
1.649996187E+01 1.231369473E+00 1.225011274E+00 1.219483867E+00 1.214874176E+00
1.674996808E+01 1.230255720E+00 1.224198921E+00 1.219160688E+00 1.215215445E+00
1.624993176E+01 1.233165038E+00 1.227009017E+00 1.221549780E+00 1.216781299E+00
1.574996808E+01 1.218465145E+00 1.211864687E+00 1.206500856E+00 1.201462445E+00
1.524993176E+01 1.011469795E+00 1.010265956E+00 1.009377547E+00 1.008695211E+00
