N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -9.243063000E-03 -9.109014000E-03 -8.889821000E-03 -9.650856000E-03
1.600000000E+01 3.227311500E-02 3.184023300E-02 3.140731400E-02 3.038994400E-02
1.700000000E+01 6.236371500E-02 6.015125800E-02 5.750832700E-02 5.646989900E-02
1.549996187E+01 2.142854900E-02 2.072044200E-02 2.181019400E-02 2.195400000E-02
1.649996187E+01 5.504030800E-02 5.319270300E-02 5.212275400E-02 5.108429400E-02
1.674996808E+01 6.225216200E-02 5.880738600E-02 5.783022500E-02 5.704871300E-02
1.624993176E+01 4.285338700E-02 4.213996800E-02 4.125225100E-02 4.048394900E-02
1.574996808E+01 2.659510300E-02 2.653822000E-02 2.583208700E-02 2.630346900E-02
1.524993176E+01 1.110300000E-02 1.125274300E-02 1.182614300E-02 1.219662500E-02
