N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 5.458090000E-03 5.485500000E-04 -1.100129200E-02 -3.484447500E-02 -7.959053800E-02 -1.517535000E-01 -1.238987550E-01 -4.776401500E-02 8.219672000E-03 1.504434800E-02 2.407898900E-02
1.600000000E+01 3.232699200E-02 3.156009300E-02 3.098555500E-02 3.084432900E-02 3.040936100E-02 2.964917600E-02 2.853222700E-02 2.596743900E-02 2.114922900E-02 1.265515000E-02 -3.164424000E-03
1.700000000E+01 6.964818200E-02 6.746910000E-02 6.522503700E-02 6.358227300E-02 6.192573500E-02 6.071664200E-02 6.052743700E-02 6.060695900E-02 6.141249200E-02 6.344841100E-02 6.570479200E-02
1.549996187E+01 2.299265900E-02 2.256281400E-02 2.191040700E-02 1.977678600E-02 1.535289400E-02 6.864137000E-03 -9.559105000E-03 -3.897488900E-02 -8.785057700E-02 -1.602212710E-01 -1.482918110E-01
1.649996187E+01 5.588526000E-02 5.389020800E-02 5.246945600E-02 5.097504300E-02 4.881177100E-02 4.840867100E-02 4.805693900E-02 4.791094400E-02 4.838572800E-02 4.841995500E-02 4.805930300E-02
1.674996808E+01 6.499293800E-02 6.287564700E-02 6.115323000E-02 5.937470400E-02 5.796423600E-02 5.739697400E-02 5.696687400E-02 5.708424600E-02 5.797854800E-02 5.896928800E-02 6.019371800E-02
1.624993176E+01 4.308848200E-02 4.156878700E-02 4.028665600E-02 3.966423900E-02 3.892563300E-02 3.838216600E-02 3.823716600E-02 3.763264400E-02 3.655098600E-02 3.482609100E-02 3.061234400E-02
1.574996808E+01 2.647217400E-02 2.665760000E-02 2.633316700E-02 2.575039000E-02 2.453728100E-02 2.231098700E-02 1.743585800E-02 8.136347000E-03 -8.356218000E-03 -3.744586100E-02 -8.541610400E-02
1.524993176E+01 1.577611100E-02 1.436062800E-02 1.106714600E-02 3.884176000E-03 -1.070140700E-02 -3.936095700E-02 -8.770520100E-02 -1.609205790E-01 -1.331711430E-01 -5.787001500E-02 7.301238000E-03
