N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 2.827940100E-02 2.826504200E-02 2.828254500E-02 2.836103000E-02
1.016672606E+01 2.014274800E-02 2.010076700E-02 2.009726700E-02 2.014525100E-02
1.033324570E+01 1.417679000E-02 1.411579000E-02 1.409334700E-02 1.411291000E-02
1.049996187E+01 9.883776000E-03 9.814655000E-03 9.779939000E-03 9.778310000E-03
1.066670514E+01 6.838626000E-03 6.769674000E-03 6.729126000E-03 6.713918000E-03
1.083333839E+01 4.702638000E-03 4.638700000E-03 4.597206000E-03 4.574767000E-03
1.100000000E+01 3.217649000E-03 3.161108000E-03 3.121955000E-03 3.097206000E-03
1.116672606E+01 2.192904000E-03 2.144763000E-03 2.110133000E-03 2.086570000E-03
1.133324570E+01 1.490543000E-03 1.451072000E-03 1.422363000E-03 1.402427000E-03
1.149996187E+01 1.012518000E-03 9.816470000E-04 9.595180000E-04 9.443780000E-04
1.166670514E+01 6.897920000E-04 6.670310000E-04 6.513570000E-04 6.410480000E-04
1.183333839E+01 4.738500000E-04 4.582560000E-04 4.481560000E-04 4.419410000E-04
1.200000000E+01 3.306800000E-04 3.208470000E-04 3.149980000E-04 3.117300000E-04
1.216672606E+01 2.363720000E-04 2.307040000E-04 2.276890000E-04 2.262240000E-04
1.233324570E+01 1.742440000E-04 1.712880000E-04 1.699530000E-04 1.694360000E-04
1.249996187E+01 1.329510000E-04 1.315520000E-04 1.310900000E-04 1.310060000E-04
1.266670514E+01 1.049440000E-04 1.043460000E-04 1.042860000E-04 1.043690000E-04
1.283333839E+01 8.535200000E-05 8.513400000E-05 8.522700000E-05 8.533900000E-05
1.300000000E+01 7.112100000E-05 7.105500000E-05 6.778000000E-05 7.733300000E-05
