N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.210148754E+00 1.205984275E+00 1.196902568E+00 1.177549215E+00 1.139191435E+00 1.070326316E+00 1.017623024E+00 1.018516145E+00 1.021523573E+00 1.027338693E+00 1.036947622E+00
1.600000000E+01 1.263738165E+00 1.263364941E+00 1.263996235E+00 1.265112876E+00 1.266866560E+00 1.268640255E+00 1.270079410E+00 1.270462584E+00 1.268802806E+00 1.263334473E+00 1.251403988E+00
1.700000000E+01 1.343726326E+00 1.341536855E+00 1.340352510E+00 1.340306454E+00 1.341015924E+00 1.342672906E+00 1.345244839E+00 1.348460464E+00 1.351734403E+00 1.355895133E+00 1.360053686E+00
1.549996187E+01 1.235494403E+00 1.235561187E+00 1.235831423E+00 1.235571311E+00 1.233883826E+00 1.228831291E+00 1.217330619E+00 1.194158863E+00 1.151633040E+00 1.081127413E+00 1.012407286E+00
1.649996187E+01 1.298154472E+00 1.296757491E+00 1.296419967E+00 1.297036928E+00 1.298618542E+00 1.300926084E+00 1.304061424E+00 1.307182204E+00 1.310276862E+00 1.313021129E+00 1.314951261E+00
1.674996808E+01 1.318762215E+00 1.316834468E+00 1.315957759E+00 1.316139273E+00 1.317485652E+00 1.319514880E+00 1.322553628E+00 1.325837714E+00 1.329473968E+00 1.333168115E+00 1.336612141E+00
1.624993176E+01 1.279871873E+00 1.279087275E+00 1.279157367E+00 1.280146441E+00 1.281896877E+00 1.284227573E+00 1.286893465E+00 1.289270266E+00 1.291046567E+00 1.291604185E+00 1.289872298E+00
1.574996808E+01 1.249530002E+00 1.249498354E+00 1.250182542E+00 1.251261070E+00 1.251626584E+00 1.251799228E+00 1.250150030E+00 1.244811101E+00 1.232805825E+00 1.207875227E+00 1.166518570E+00
1.524993176E+01 1.223734217E+00 1.222909574E+00 1.221106160E+00 1.216552599E+00 1.206055224E+00 1.184215852E+00 1.142598094E+00 1.071186389E+00 1.014753957E+00 1.015415937E+00 1.017610903E+00
