f G/w
1.0000000E+6 1.7713099E-5
8.9779585E+5 1.8004597E-5
8.0603739E+5 1.8051165E-5
7.2365703E+5 1.8238799E-5
6.4969628E+5 1.8364806E-5
5.8329463E+5 1.8455949E-5
5.2367949E+5 1.8422638E-5
4.7015728E+5 1.8344529E-5
4.2210526E+5 1.8166232E-5
3.7896435E+5 1.7837365E-5
3.4023262E+5 1.7467165E-5
3.0545943E+5 1.6949232E-5
2.7424021E+5 1.6364711E-5
2.4621173E+5 1.5729680E-5
2.2104787E+5 1.5029193E-5
1.9845586E+5 1.4248000E-5
1.7817285E+5 1.3447383E-5
1.5996284E+5 1.2633215E-5
1.4361398E+5 1.1864629E-5
1.2893603E+5 1.1070463E-5
1.1575824E+5 1.0331541E-5
1.0392726E+5 9.5587176E-6
9.3305466E+4 8.9071809E-6
8.3769261E+4 8.2634338E-6
7.5207695E+4 7.7216252E-6
6.7521156E+4 7.0783170E-6
6.0620214E+4 6.6118432E-6
5.4424577E+4 6.1627597E-6
4.8862159E+4 5.8449842E-6
4.3868244E+4 5.4229986E-6
3.9384728E+4 5.1603197E-6
3.5359445E+4 4.9808674E-6
3.1745563E+4 4.7212696E-6
2.8501035E+4 4.5243198E-6
2.5588111E+4 4.6264178E-6
2.2972900E+4 4.5685601E-6
2.0624974E+4 4.2984144E-6
1.8517016E+4 4.5527267E-6
1.6624501E+4 4.2753200E-6
1.4925408E+4 4.3809704E-6
1.3399969E+4 4.6006546E-6
1.2030437E+4 4.7943253E-6
1.0800876E+4 4.8987572E-6
9.6969820E+3 5.3005759E-6
8.7059100E+3 5.6360043E-6
7.8161300E+3 5.8703832E-6
7.0172890E+3 6.4957222E-6
6.3000930E+3 6.8290143E-6
5.6561970E+3 7.3254898E-6
5.0781110E+3 8.1812628E-6
4.5591070E+3 8.6062398E-6
4.0931470E+3 9.6656297E-6
3.6748100E+3 1.0452515E-5
3.2992300E+3 1.0980968E-5
2.9620350E+3 1.2535120E-5
2.6593020E+3 1.3618371E-5
2.3875110E+3 1.4972967E-5
2.1434970E+3 1.6697206E-5
1.9244230E+3 1.8081403E-5
1.7277390E+3 2.0497116E-5
1.5511570E+3 2.2537642E-5
1.3926220E+3 2.4681506E-5
1.2502900E+3 2.7789110E-5
1.1225050E+3 2.9470015E-5
1.0077810E+3 3.3501013E-5
9.0478100E+2 3.7901361E-5
8.1230900E+2 4.2049312E-5
7.2928800E+2 4.5658312E-5
6.5475100E+2 4.8446783E-5
5.8783300E+2 5.5194908E-5
5.2775400E+2 6.3520325E-5
4.7381500E+2 6.8445432E-5
4.2539000E+2 7.6895302E-5
3.8191300E+2 8.4300833E-5
3.4288000E+2 9.6735473E-5
3.0783600E+2 1.0568152E-4
2.7637400E+2 1.0987534E-4
2.4812700E+2 1.3051084E-4
2.2276800E+2 1.3191751E-4
2.0000000E+2 1.5283641E-4
