fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_330 001_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.054741522E-14 1.000000000E+20 1.240845498E+00 8.160512344E-15 9.158771247E-05 
001_330_SRH 001_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.152736996E-14 1.000000000E+20 1.270452209E+00 7.624070273E-15 2.283635273E-04 
002_330 002_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.501872205E-14 1.000000000E+20 1.248178570E+00 1.171634963E-14 1.151461776E-04 
002_330_SRH 002_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.609975106E-14 1.000000000E+20 1.270792867E+00 1.118730117E-14 2.298526572E-04 
003_330 003_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.060608298E-13 1.000000000E+20 1.252040626E+00 1.689241683E-14 1.385845561E-04 
003_330_SRH 003_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.728999619E-14 1.000000000E+20 1.271284762E+00 1.641371902E-14 2.320567404E-04 
004_330 004_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.365894769E-13 1.000000000E+20 1.260268285E+00 2.457389263E-14 1.624823117E-04 
004_330_SRH 004_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.797293591E-14 1.000000000E+20 1.271989936E+00 2.407736430E-14 2.353276705E-04 
005_330 005_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.805070932E-13 1.000000000E+20 1.265617793E+00 3.581624929E-14 1.850672936E-04 
005_330_SRH 005_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.421312438E-13 1.000000000E+20 1.272990013E+00 3.531026164E-14 2.401930151E-04 
006_330 006_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.431532211E-13 1.000000000E+20 1.269337884E+00 5.226200136E-14 2.058100653E-04 
006_330_SRH 006_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.051360378E-13 1.000000000E+20 1.274386942E+00 5.176610751E-14 2.474385768E-04 
007_330 007_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.314334043E-13 1.000000000E+20 1.272461845E+00 7.635270260E-14 2.258837976E-04 
007_330_SRH 007_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.938835245E-13 1.000000000E+20 1.275485783E+00 7.587899971E-14 2.558683633E-04 
008_330 008_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.536768403E-13 1.000000000E+20 1.274431920E+00 1.116511969E-13 2.444648358E-04 
008_330_SRH 008_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.168159717E-13 1.000000000E+20 1.276475184E+00 1.111886895E-13 2.667572243E-04 
009_330 009_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.193700383E-13 1.000000000E+20 1.276410079E+00 1.632886599E-13 2.658423284E-04 
009_330_SRH 009_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.834230949E-13 1.000000000E+20 1.277782959E+00 1.628403475E-13 2.825902812E-04 
010_330 010_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.377977516E-13 1.000000000E+20 1.278530778E+00 2.387699126E-13 2.924469287E-04 
010_330_SRH 010_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.030168822E-13 1.000000000E+20 1.279447569E+00 2.383392345E-13 3.052675948E-04 
011_330 011_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.116443399E-12 1.000000000E+20 1.280861611E+00 3.490353270E-13 3.269983402E-04 
011_330_SRH 011_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.083078733E-12 1.000000000E+20 1.281469868E+00 3.486256978E-13 3.370686098E-04 
012_330 012_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.459607539E-12 1.000000000E+20 1.283395614E+00 5.100626540E-13 3.723927745E-04 
012_330_SRH 012_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.427863069E-12 1.000000000E+20 1.283796613E+00 5.096767952E-13 3.805479558E-04 
013_330 013_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.868624117E-12 1.000000000E+20 1.286055154E+00 7.452458544E-13 4.315922074E-04 
013_330_SRH 013_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.838610525E-12 1.000000000E+20 1.286318134E+00 7.448851904E-13 4.384129689E-04 
014_330 014_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.344563445E-12 1.000000000E+20 1.288716098E+00 1.088916419E-12 5.074997337E-04 
014_330_SRH 014_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.316267752E-12 1.000000000E+20 1.288887975E+00 1.088580539E-12 5.133829303E-04 
015_330 015_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.891795351E-12 1.000000000E+20 1.291448426E+00 1.592903056E-12 6.029485162E-04 
015_330_SRH 015_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.864976027E-12 1.000000000E+20 1.291575681E+00 1.592639709E-12 6.078052182E-04 
016_330 016_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.523540055E-12 1.000000000E+20 1.293732182E+00 2.329569091E-12 7.195404187E-04 
016_330_SRH 016_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.498007462E-12 1.000000000E+20 1.293815881E+00 2.329322244E-12 7.234497489E-04 
017_330 017_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.260518962E-12 1.000000000E+20 1.295707671E+00 3.408410048E-12 8.605807179E-04 
017_330_SRH 017_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.236059148E-12 1.000000000E+20 1.295772734E+00 3.408251503E-12 8.641428861E-04 
018_330 018_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.139110837E-12 1.000000000E+20 1.302367499E+00 5.009495299E-12 1.028748984E-03 
018_330_SRH 018_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.116462213E-12 1.000000000E+20 1.302761107E+00 5.010172977E-12 1.032865164E-03 
019_330 019_330.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.187564877E-12 1.000000000E+20 1.308802784E+00 7.362456307E-12 1.228300800E-03 
019_330_SRH 019_330_srh.dat 330 35.13 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.164914579E-12 1.000000000E+20 1.308835996E+00 7.362343452E-12 1.231820952E-03 
