fname time Tem kT_1 Voc Isc Pm Vm Im FF rmsre 
00L1 50620577.313 339.91 34.11 1.554607788E-01 1.279559819E-04 7.308540073E-06 9.322633917E-02 7.841400396E-05 3.674085001E-01 0.000000000E+00 
00L2 50646042.2459 339.76 34.125 1.672986627E-01 1.577240214E-04 1.006074313E-05 1.022506981E-01 9.837438852E-05 3.812762468E-01 0.000000000E+00 
00L3 50667040.9028 339.7 34.131 1.672705785E-01 1.608524089E-04 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 -2.062746481E+07 0.000000000E+00 
00L4 50688031.2752 339.66 34.135 1.680938068E-01 1.599591044E-04 1.050411403E-05 1.005033883E-01 1.045071211E-04 3.906598249E-01 0.000000000E+00 
00L5 50709033.9744 339.64 34.137 1.583915502E-01 1.308720101E-04 7.743147114E-06 9.779658334E-02 7.916652943E-05 3.735413880E-01 0.000000000E+00 
00L6 50730035.5352 339.64 34.137 1.585758734E-01 1.319363745E-04 7.821645316E-06 9.320222060E-02 8.394558320E-05 3.738492041E-01 0.000000000E+00 
00L7 50751033.8103 339.65 34.136 1.593456286E-01 1.320215867E-04 7.893056681E-06 9.520505399E-02 8.293062378E-05 3.751976586E-01 0.000000000E+00 
00L8 50772034.457 339.69 34.132 1.594953277E-01 1.325644002E-04 7.885754297E-06 9.657630653E-02 8.167692582E-05 3.729652460E-01 0.000000000E+00 
00L9 50793037.0937 339.73 34.128 1.591302089E-01 1.330891518E-04 7.932969304E-06 9.335969569E-02 8.499911116E-05 3.745764622E-01 0.000000000E+00 
0L10 50814401.809 339.73 34.128 1.588540273E-01 1.340380701E-04 8.085435975E-06 1.007884379E-01 8.023003098E-05 3.797318688E-01 1.434236848E-17 
0L11 50835055.5544 339.76 34.125 1.606988727E-01 1.349880046E-04 8.099487212E-06 9.812062205E-02 8.253724781E-05 3.733786801E-01 0.000000000E+00 
0L12 50856038.8466 339.77 34.124 1.602054425E-01 1.354067050E-04 8.218081958E-06 9.835592152E-02 8.353509651E-05 3.788375613E-01 0.000000000E+00 
0L13 50877130.52 339.81 34.12 1.614636566E-01 1.358347050E-04 8.184449571E-06 9.552523230E-02 8.568796204E-05 3.731676174E-01 0.000000000E+00 
0L14 50898029.1671 339.84 34.117 1.610266925E-01 1.362307866E-04 8.281054124E-06 9.737858289E-02 8.505182604E-05 3.774961148E-01 0.000000000E+00 
0L15 50919029.8707 339.85 34.116 1.617010034E-01 1.371650158E-04 8.303973941E-06 9.749160602E-02 8.519912642E-05 3.743948834E-01 0.000000000E+00 
0L16 50940032.1862 339.87 34.114 1.614960045E-01 1.379480919E-04 8.364610959E-06 9.515163119E-02 8.793687803E-05 3.754639690E-01 0.000000000E+00 
0L17 50961031.1249 339.88 34.113 1.623240445E-01 1.387440819E-04 8.549652945E-06 1.007622657E-01 8.485606457E-05 3.796218168E-01 0.000000000E+00 
0L18 50982031.9812 339.9 34.111 1.623772608E-01 1.390165760E-04 8.507842203E-06 9.728884972E-02 8.745128725E-05 3.769012935E-01 0.000000000E+00 
0L19 51003033.7767 339.9 34.111 1.629936089E-01 1.394312471E-04 8.590571908E-06 9.884995124E-02 8.689678444E-05 3.779996432E-01 0.000000000E+00 
0L20 51024033.1476 339.92 34.109 1.634025537E-01 1.404385559E-04 8.664668179E-06 1.015782622E-01 8.530899572E-05 3.775780514E-01 0.000000000E+00 
0L21 51045033.8368 339.93 34.108 1.639948082E-01 1.410493164E-04 8.761771687E-06 1.021157869E-01 8.582689464E-05 3.787833208E-01 0.000000000E+00 
0L22 51066035.0322 339.94 34.107 1.643986506E-01 1.418488032E-04 8.771672250E-06 9.992383660E-02 8.778269044E-05 3.761477530E-01 0.000000000E+00 
0L23 51087027.4413 339.93 34.108 1.650438570E-01 1.421235501E-04 8.861438619E-06 1.012521206E-01 8.752488390E-05 3.777798778E-01 0.000000000E+00 
0L24 51108026.278 339.95 34.106 1.646253779E-01 1.424412339E-04 8.867349753E-06 9.961854855E-02 8.901357699E-05 3.781475812E-01 0.000000000E+00 
0L25 51128796.641 339.95 34.106 1.649431968E-01 1.430449445E-04 8.969764585E-06 1.019413055E-01 8.800485658E-05 3.801667445E-01 0.000000000E+00 
0L26 51150028.6783 339.95 34.106 1.655694984E-01 1.436582827E-04 8.962861605E-06 9.927797081E-02 9.028249419E-05 3.768215113E-01 0.000000000E+00 
0L27 51170798.58 339.97 34.104 1.655976865E-01 1.445423911E-04 9.095257875E-06 1.020348761E-01 8.913698784E-05 3.799841809E-01 0.000000000E+00 
0L28 51191799.035 339.96 34.105 1.651813539E-01 1.451560942E-04 9.108778917E-06 1.012395414E-01 8.998327976E-05 3.798952523E-01 0.000000000E+00 
0L29 51213030.0545 339.96 34.105 1.652825845E-01 1.450600206E-04 9.090441958E-06 1.013566780E-01 8.967508569E-05 3.791492211E-01 0.000000000E+00 
0L30 51233800.837 339.97 34.104 1.653359631E-01 1.455225645E-04 9.222027278E-06 1.016549669E-01 9.072837612E-05 3.832910984E-01 0.000000000E+00 
0L31 51254801.553 339.96 34.105 1.656985795E-01 1.464026496E-04 9.280184084E-06 1.003430542E-01 9.248719515E-05 3.825505839E-01 0.000000000E+00 
0L32 51276032.3189 339.99 34.102 1.663652331E-01 1.469292809E-04 9.362283213E-06 1.006328034E-01 9.303992550E-05 3.830106488E-01 0.000000000E+00 
0L33 51297023.8003 339.97 34.104 1.670963139E-01 1.476665942E-04 9.417752362E-06 1.051089465E-01 8.957211010E-05 3.816788883E-01 0.000000000E+00 
0L34 51318023.942 340 34.101 1.672819243E-01 1.478903622E-04 9.441736491E-06 1.025825550E-01 9.205202190E-05 3.816479968E-01 0.000000000E+00 
0L35 51339024.9275 339.99 34.102 1.670121430E-01 1.481781419E-04 9.480849000E-06 1.008689626E-01 9.398426237E-05 3.831025443E-01 0.000000000E+00 
0L36 51360026.6497 340 34.101 1.672952398E-01 1.487168460E-04 9.570346940E-06 1.003684063E-01 9.535521084E-05 3.846661155E-01 0.000000000E+00 
0L37 51381026.815 339.99 34.102 1.676443258E-01 1.494246882E-04 9.541511233E-06 1.032090087E-01 9.242159980E-05 3.808955941E-01 0.000000000E+00 
0L38 51402026.9699 340 34.101 1.686145303E-01 1.504119925E-04 9.648812747E-06 1.018031673E-01 9.478331227E-05 3.804489734E-01 0.000000000E+00 
0L39 51423027.6706 340.01 34.1 1.685614108E-01 1.502894852E-04 9.757443466E-06 1.018942630E-01 9.576414349E-05 3.851671937E-01 0.000000000E+00 
0L40 51444028.7177 340 34.101 1.679738336E-01 1.503290429E-04 9.749965487E-06 1.035132161E-01 9.419382910E-05 3.861166700E-01 0.000000000E+00 
0L41 51465029.8364 340.01 34.1 1.684966160E-01 1.509542310E-04 9.792707448E-06 1.012852233E-01 9.669044324E-05 3.850049445E-01 0.000000000E+00 
0L42 51486030.1322 340.02 34.099 1.688560256E-01 1.516505002E-04 9.805936792E-06 1.044265920E-01 9.388092014E-05 3.829381891E-01 0.000000000E+00 
0L43 51507020.7185 340 34.101 1.695181159E-01 1.524411941E-04 9.979403277E-06 1.028765342E-01 9.702206597E-05 3.861767420E-01 0.000000000E+00 
0L44 51528040.2717 340.02 34.099 1.687001517E-01 1.525067444E-04 9.965876862E-06 1.025329640E-01 9.720556607E-05 3.873566297E-01 0.000000000E+00 
0L45 51549041.2492 340.02 34.099 1.689452640E-01 1.526309802E-04 9.977040058E-06 1.047966936E-01 9.522157295E-05 3.869127139E-01 0.000000000E+00 
