N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 -2.269509000E-03 -1.716951100E-02 -4.910582500E-02 -1.099813140E-01 -1.667774350E-01 -1.399917220E-01 -7.725991800E-02 1.020947600E-02 1.839774300E-02 2.901647600E-02 4.204851600E-02
1.600000000E+01 3.386516600E-02 3.277546500E-02 3.199139000E-02 3.164651800E-02 3.059450100E-02 2.863631600E-02 2.522365700E-02 1.767917700E-02 3.518464000E-03 -2.116000400E-02 -6.376110400E-02
1.700000000E+01 8.056683900E-02 7.755882500E-02 7.583293500E-02 7.621834100E-02 7.750602100E-02 8.029843300E-02 8.554588100E-02 9.114871000E-02 9.732097000E-02 1.063515540E-01 1.143222870E-01
1.549996187E+01 2.104548700E-02 1.970398600E-02 1.711848100E-02 1.097362800E-02 -1.305957000E-03 -2.469393300E-02 -6.774384300E-02 -1.387237480E-01 -1.820330570E-01 -1.509445930E-01 -8.626882900E-02
1.649996187E+01 6.137246500E-02 5.887443300E-02 5.780074300E-02 5.707921100E-02 5.714240400E-02 5.853710600E-02 5.975426400E-02 6.107879400E-02 6.319427200E-02 6.339839400E-02 6.165664700E-02
1.674996808E+01 7.209383600E-02 6.932347100E-02 6.821788800E-02 6.772444700E-02 6.838217800E-02 7.091034000E-02 7.370265800E-02 7.716617500E-02 8.234939000E-02 8.655005700E-02 9.041678400E-02
1.624993176E+01 4.667701200E-02 4.481204400E-02 4.349804600E-02 4.319752100E-02 4.289527100E-02 4.266789300E-02 4.288512700E-02 4.150448400E-02 3.816779800E-02 3.216295600E-02 1.893254000E-02
1.574996808E+01 2.673012200E-02 2.644637900E-02 2.548580900E-02 2.364665800E-02 1.955786600E-02 1.271769500E-02 -8.150200000E-04 -2.652859900E-02 -7.027733800E-02 -1.414612330E-01 -1.906428630E-01
1.524993176E+01 1.259168200E-02 8.527045000E-03 -1.085970000E-03 -2.106950900E-02 -5.988488200E-02 -1.279099150E-01 -1.742935420E-01 -1.438904270E-01 -7.750846100E-02 9.378084000E-03 1.562588200E-02
