fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_310 001_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.997933973E-15 1.000000000E+20 1.250791062E+00 1.124646726E-15 3.914637156E-04 
001_310_SRH 001_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.698919510E-15 1.000000000E+20 1.263412511E+00 1.093654848E-15 8.909038198E-04 
002_310 002_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.777594853E-15 1.000000000E+20 1.254727771E+00 1.635819798E-15 4.813384089E-04 
002_310_SRH 002_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.483494978E-15 1.000000000E+20 1.263453007E+00 1.605135031E-15 8.942927869E-04 
003_310 003_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.910480393E-15 1.000000000E+20 1.257515544E+00 2.386156578E-15 5.691049646E-04 
003_310_SRH 003_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.623600172E-15 1.000000000E+20 1.263511706E+00 2.355737345E-15 8.992517011E-04 
004_310 004_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.549222024E-15 1.000000000E+20 1.259495350E+00 3.487318715E-15 6.503302602E-04 
004_310_SRH 004_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.272817699E-15 1.000000000E+20 1.263596475E+00 3.457158957E-15 9.064975791E-04 
005_310 005_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.904341218E-15 1.000000000E+20 1.260924711E+00 5.103045807E-15 7.230151293E-04 
005_310_SRH 005_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.642970932E-15 1.000000000E+20 1.263717993E+00 5.073173297E-15 9.170633033E-04 
006_310 006_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.325789255E-14 1.000000000E+20 1.261995743E+00 7.473338042E-15 7.878757839E-04 
006_310_SRH 006_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.101782492E-14 1.000000000E+20 1.263890422E+00 7.443815628E-15 9.324241141E-04 
007_310 007_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.797194105E-14 1.000000000E+20 1.262852092E+00 1.094980298E-14 8.479344058E-04 
007_310_SRH 007_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.576156210E-14 1.000000000E+20 1.264131481E+00 1.092073087E-14 9.546615375E-04 
008_310 008_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.448271042E-14 1.000000000E+20 1.263602213E+00 1.604729648E-14 9.079139266E-04 
008_310_SRH 008_310_srh.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.231279010E-14 1.000000000E+20 1.264461574E+00 1.601881360E-14 9.866615551E-04 
009_310 009_310.dat 310 37.4 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.326796781E-14 1.000000000E+20 1.264327669E+00 2.351939863E-14 9.737879893E-04 
