fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc Pm FF Vm Im dev 
DL00 12:19:44 295.9 39.18 1.000E+000 6.951E-001 2.418E-011 1.000E+012 2.910E+000 3.661E-006 1.829E-004 2.911E-001 1.829E-004 2.650E-005 4.977E-001 1.959E-001 1.352E-004 4.615E-003 
DL01 12:22:56 295.9 39.18 1.000E+000 7.309E-001 2.484E-011 1.000E+012 2.935E+000 3.860E-006 1.828E-004 2.897E-001 1.828E-004 2.621E-005 4.949E-001 1.944E-001 1.347E-004 7.319E-001 
DL02 12:27:16 296 39.17 1.000E+000 7.248E-001 2.464E-011 1.000E+012 2.926E+000 3.880E-006 1.828E-004 2.886E-001 1.828E-004 2.609E-005 4.946E-001 1.935E-001 1.348E-004 2.867E+000 
DL03 12:32:28 296 39.17 1.000E+000 6.970E-001 2.455E-011 1.000E+012 2.925E+000 3.902E-006 1.829E-004 2.881E-001 1.829E-004 2.605E-005 4.943E-001 1.933E-001 1.347E-004 3.432E-003 
DL04 12:35:48 296 39.17 1.000E+000 6.918E-001 2.443E-011 1.000E+012 2.907E+000 3.751E-006 1.827E-004 2.891E-001 1.827E-004 2.621E-005 4.963E-001 1.942E-001 1.349E-004 3.301E-003 
DL05 12:39:38 296 39.17 1.000E+000 7.424E-001 2.560E-011 1.000E+012 2.947E+000 3.981E-006 1.827E-004 2.887E-001 1.827E-004 2.602E-005 4.933E-001 1.935E-001 1.344E-004 5.061E-003 
DL06 12:42:54 296 39.17 1.000E+000 6.840E-001 2.425E-011 1.000E+012 2.900E+000 3.724E-006 1.826E-004 2.888E-001 1.826E-004 2.619E-005 4.966E-001 1.940E-001 1.349E-004 4.009E-003 
DL07 12:46:16 296.1 39.16 1.000E+000 7.106E-001 2.516E-011 1.000E+012 2.933E+000 3.924E-006 1.826E-004 2.884E-001 1.826E-004 2.602E-005 4.940E-001 1.934E-001 1.345E-004 4.157E-003 
DL08 12:49:16 296.1 39.16 1.000E+000 6.955E-001 2.454E-011 1.000E+012 2.904E+000 3.836E-006 1.825E-004 2.872E-001 1.825E-004 2.595E-005 4.951E-001 1.927E-001 1.346E-004 1.942E-003 
DL09 12:52:50 296.1 39.16 1.000E+000 6.952E-001 2.486E-011 1.000E+012 2.927E+000 3.997E-006 1.829E-004 2.866E-001 1.829E-004 2.584E-005 4.931E-001 1.920E-001 1.345E-004 4.045E-003 
