N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.200000E+10 1.000E+15 290 2.800E-4 3.793788E+1 1.828230E+1 5.915740E-1 8.146080E+1 3.793492E+1 1.826240E+1 5.909290E-1 8.146720E+1 -7.8028371E-03 -1.0896706E-01 -1.0915017E-01 7.8559224E-03
1.919000E+10 1.000E+15 290 2.800E-4 3.792109E+1 1.827010E+1 5.915460E-1 8.144620E+1 3.791774E+1 1.823930E+1 5.905230E-1 8.145700E+1 -8.8349147E-03 -1.6886613E-01 -1.7323627E-01 1.3258529E-02
3.070000E+10 1.000E+15 290 2.800E-4 3.789433E+1 1.825060E+1 5.915030E-1 8.142280E+1 3.789047E+1 1.819580E+1 5.898860E-1 8.140890E+1 -1.0187258E-02 -3.0116840E-01 -2.7412076E-01 -1.7074300E-02
4.909000E+10 1.000E+15 290 2.800E-4 3.785176E+1 1.821950E+1 5.914330E-1 8.138520E+1 3.784742E+1 1.813960E+1 5.888820E-1 8.138850E+1 -1.1467096E-02 -4.4047278E-01 -4.3319375E-01 4.0546269E-03
7.852000E+10 1.000E+15 290 2.800E-4 3.778425E+1 1.817000E+1 5.913220E-1 8.132440E+1 3.777993E+1 1.805440E+1 5.873710E-1 8.135990E+1 -1.1434643E-02 -6.4028713E-01 -6.7265834E-01 4.3633289E-02
1.256000E+11 1.000E+15 290 2.800E-4 3.767778E+1 1.809140E+1 5.911430E-1 8.122580E+1 3.767534E+1 1.792830E+1 5.851680E-1 8.132080E+1 -6.4763848E-03 -9.0973489E-01 -1.0210743E+00 1.1682128E-01
2.009000E+11 1.000E+15 290 2.800E-4 3.751134E+1 1.796020E+1 5.908550E-1 8.103400E+1 3.751610E+1 1.774690E+1 5.820860E-1 8.126760E+1 1.2687886E-02 -1.2019001E+00 -1.5064784E+00 2.8744543E-01
3.212000E+11 1.000E+15 290 2.800E-4 3.725505E+1 1.776550E+1 5.903930E-1 8.077040E+1 3.727993E+1 1.748760E+1 5.779580E-1 8.116300E+1 6.6738323E-02 -1.5891260E+00 -2.1515404E+00 4.8371795E-01
5.138000E+11 1.000E+15 290 2.800E-4 3.687039E+1 1.746570E+1 5.896340E-1 8.033900E+1 3.694270E+1 1.715830E+1 5.728460E-1 8.107920E+1 1.9573556E-01 -1.7915528E+00 -2.9306306E+00 9.1293451E-01
8.217000E+11 1.000E+15 290 2.800E-4 3.631821E+1 1.701870E+1 5.883850E-1 7.964150E+1 3.648531E+1 1.674200E+1 5.669700E-1 8.093390E+1 4.5799255E-01 -1.6527297E+00 -3.7770958E+00 1.5968587E+00
1.314000E+12 1.000E+15 290 2.800E-4 3.558280E+1 1.639590E+1 5.863430E-1 7.858540E+1 3.590358E+1 1.626630E+1 5.607360E-1 8.079650E+1 8.9344851E-01 -7.9673927E-01 -4.5666767E+00 2.7366284E+00
2.102000E+12 1.000E+15 290 2.800E-4 3.470517E+1 1.566120E+1 5.829470E-1 7.741080E+1 3.521449E+1 1.573460E+1 5.544430E-1 8.058960E+1 1.4463364E+00 4.6648787E-01 -5.1410154E+00 3.9444296E+00
3.362000E+12 1.000E+15 290 2.800E-4 3.376903E+1 1.493110E+1 5.770130E-1 7.662790E+1 3.445018E+1 1.518720E+1 5.483550E-1 8.039430E+1 1.9772030E+00 1.6862885E+00 -5.2261765E+00 4.6849093E+00
5.377000E+12 1.000E+15 290 2.800E-4 3.282300E+1 1.424470E+1 5.661800E-1 7.665140E+1 3.364062E+1 1.462320E+1 5.424630E-1 8.013250E+1 2.4304546E+00 2.5883528E+00 -4.3720954E+00 4.3441800E+00
8.600000E+12 1.000E+15 290 2.800E-4 3.186077E+1 1.357910E+1 5.507950E-1 7.737910E+1 3.279971E+1 1.405620E+1 5.366490E-1 7.985590E+1 2.8626473E+00 3.3942317E+00 -2.6359874E+00 3.1015867E+00
