fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA 
0UT1 9:16 300.2 38.62 2.402E+000 2.146E-006 5.369E-011 2.598 0.9636 4.329E+002 
0UT2 9:41 303.5 38.2 2.350E+000 3.542E-006 2.158E-010 2.79 1.009 4.435E+002 
0UT3 10:0 306.5 37.83 2.302E+000 2.506E-006 2.149E-010 2.487 0.9863 4.529E+002 
0UT4 10:19 309.4 37.47 2.257E+000 4.233E-006 5.415E-010 2.689 1.011 4.618E+002 
0UT5 10:40 312.4 37.11 2.209E+000 4.193E-006 6.361E-010 2.566 0.9956 4.709E+002 
0UT6 11:1 315.5 36.75 2.160E+000 7.193E-006 2.622E-009 2.86 1.055 4.800E+002 
0UT7 11:20 318.7 36.38 2.110E+000 9.319E-006 5.454E-009 2.955 1.078 4.893E+002 
0UT8 11:38 321.4 36.07 2.067E+000 7.475E-006 4.494E-009 2.64 1.04 4.970E+002 
0UT9 11:55 324.3 35.75 2.022E+000 1.043E-005 8.551E-009 2.797 1.057 5.051E+002 
UT10 12:14 327.7 35.38 1.968E+000 9.293E-006 1.014E-008 2.557 1.042 5.145E+002 
UT11 12:41 330.7 35.06 1.921E+000 1.247E-005 2.720E-008 2.7 1.091 5.225E+002 
