x N
1.9621499E+0 9.3639209E+20
1.9488967E+0 9.2649649E+20
1.9352668E+0 9.0675540E+20
1.9212347E+0 8.7067894E+20
1.9062439E+0 8.6653584E+20
1.8918557E+0 8.6421490E+20
1.8765501E+0 8.2858453E+20
1.8606349E+0 8.1493933E+20
1.8445387E+0 8.0919098E+20
1.8281134E+0 7.9108695E+20
1.8109704E+0 7.8999568E+20
1.7941907E+0 7.9472462E+20
1.7769262E+0 7.7729936E+20
1.7590437E+0 7.7312011E+20
1.7412369E+0 7.8228421E+20
1.7234108E+0 7.8542165E+20
1.7053774E+0 7.7742095E+20
1.6867955E+0 7.8226581E+20
1.6685980E+0 7.8206467E+20
1.6495922E+0 7.7401252E+20
1.6305838E+0 7.8170863E+20
1.6115127E+0 7.7293651E+20
1.5916071E+0 7.6954228E+20
1.5718870E+0 7.7363951E+20
1.5516884E+0 7.6864607E+20
1.5311882E+0 7.7252030E+20
1.5106550E+0 7.6941007E+20
1.4894198E+0 7.6469367E+20
1.4680376E+0 7.7247816E+20
1.4466190E+0 7.7186512E+20
1.4245595E+0 7.6473840E+20
1.4020591E+0 7.6186507E+20
1.3791135E+0 7.6541271E+20
1.3560769E+0 7.5997757E+20
1.3319993E+0 7.6330176E+20
1.3083459E+0 7.6151623E+20
1.2832569E+0 7.5123319E+20
1.2579945E+0 7.5273021E+20
1.2319848E+0 7.4884841E+20
1.2053713E+0 7.4551301E+20
1.1779542E+0 7.4279160E+20
