f G/w
1.0000000E+6 2.2194927E-5
8.9779585E+5 2.2642143E-5
8.0603739E+5 2.2952383E-5
7.2365703E+5 2.3122340E-5
6.4969628E+5 2.3092865E-5
5.8329463E+5 2.2998315E-5
5.2367949E+5 2.2765518E-5
4.7015728E+5 2.2420054E-5
4.2210526E+5 2.1952845E-5
3.7896435E+5 2.1336319E-5
3.4023262E+5 2.0657436E-5
3.0545943E+5 1.9825088E-5
2.7424021E+5 1.8973408E-5
2.4621173E+5 1.8090930E-5
2.2104787E+5 1.7104232E-5
1.9845586E+5 1.6103314E-5
1.7817285E+5 1.5178145E-5
1.5996284E+5 1.4167118E-5
1.4361398E+5 1.3187978E-5
1.2893603E+5 1.2313810E-5
1.1575824E+5 1.1378759E-5
1.0392726E+5 1.0652385E-5
9.3305466E+4 9.9309698E-6
8.3769261E+4 9.1365138E-6
7.5207695E+4 8.4837088E-6
6.7521156E+4 7.8371194E-6
6.0620214E+4 7.1088257E-6
5.4424577E+4 6.8600173E-6
4.8862159E+4 6.3929479E-6
4.3868244E+4 6.1097837E-6
3.9384728E+4 5.5290442E-6
3.5359445E+4 5.3670529E-6
3.1745563E+4 5.4041808E-6
2.8501035E+4 4.9958366E-6
2.5588111E+4 4.7991112E-6
2.2972900E+4 4.7219370E-6
2.0624974E+4 4.7186010E-6
1.8517016E+4 4.5406154E-6
1.6624501E+4 4.5847058E-6
1.4925408E+4 4.6080949E-6
1.3399969E+4 4.6659632E-6
1.2030437E+4 4.3537386E-6
1.0800876E+4 4.6122036E-6
9.6969820E+3 5.3543955E-6
8.7059100E+3 5.6344591E-6
7.8161300E+3 5.7404591E-6
7.0172890E+3 6.1758494E-6
6.3000930E+3 6.4657133E-6
5.6561970E+3 6.7560616E-6
5.0781110E+3 7.3721636E-6
4.5591070E+3 7.8722955E-6
4.0931470E+3 8.6708858E-6
3.6748100E+3 9.0431133E-6
3.2992300E+3 1.1007700E-5
2.9620350E+3 1.0490088E-5
2.6593020E+3 1.1773015E-5
2.3875110E+3 1.2960133E-5
2.1434970E+3 1.4475503E-5
1.9244230E+3 1.5384033E-5
1.7277390E+3 1.6562325E-5
1.5511570E+3 1.8921174E-5
1.3926220E+3 2.0793613E-5
1.2502900E+3 2.2008247E-5
1.1225050E+3 2.3809446E-5
1.0077810E+3 2.3957223E-5
9.0478100E+2 2.7206355E-5
8.1230900E+2 2.9258319E-5
7.2928800E+2 3.1304749E-5
6.5475100E+2 3.2429615E-5
5.8783300E+2 4.2064720E-5
5.2775400E+2 4.0884180E-5
4.7381500E+2 4.7222627E-5
4.2539000E+2 5.1697547E-5
3.8191300E+2 4.7433833E-5
3.4288000E+2 5.0841196E-5
3.0783600E+2 6.8167214E-5
2.7637400E+2 7.8162626E-5
2.4812700E+2 1.0067757E-4
2.2276800E+2 8.8393447E-5
2.0000000E+2 6.8965602E-5
