f G/w
1.0000000E+6 2.4774665E-5
8.9779585E+5 2.5738770E-5
8.0603739E+5 2.6536817E-5
7.2365703E+5 2.7153052E-5
6.4969628E+5 2.7598120E-5
5.8329463E+5 2.7712858E-5
5.2367949E+5 2.7867425E-5
4.7015728E+5 2.7849890E-5
4.2210526E+5 2.7649822E-5
3.7896435E+5 2.7280072E-5
3.4023262E+5 2.6693687E-5
3.0545943E+5 2.5950502E-5
2.7424021E+5 2.5113539E-5
2.4621173E+5 2.4149355E-5
2.2104787E+5 2.3054983E-5
1.9845586E+5 2.1929773E-5
1.7817285E+5 2.0785982E-5
1.5996284E+5 1.9546446E-5
1.4361398E+5 1.8339824E-5
1.2893603E+5 1.7153824E-5
1.1575824E+5 1.6052374E-5
1.0392726E+5 1.4958493E-5
9.3305466E+4 1.3898701E-5
8.3769261E+4 1.2953659E-5
7.5207695E+4 1.2024683E-5
6.7521156E+4 1.1218451E-5
6.0620214E+4 1.0432087E-5
5.4424577E+4 9.7389504E-6
4.8862159E+4 9.1435675E-6
4.3868244E+4 8.6255180E-6
3.9384728E+4 8.0959958E-6
3.5359445E+4 7.7710138E-6
3.1745563E+4 7.4545536E-6
2.8501035E+4 7.1186344E-6
2.5588111E+4 6.9146390E-6
2.2972900E+4 6.9268544E-6
2.0624974E+4 6.5852106E-6
1.8517016E+4 6.6971104E-6
1.6624501E+4 6.9180969E-6
1.4925408E+4 6.8355160E-6
1.3399969E+4 7.0673668E-6
1.2030437E+4 7.4217951E-6
1.0800876E+4 7.7028113E-6
9.6969820E+3 8.1066107E-6
8.7059100E+3 8.6043416E-6
7.8161300E+3 9.2076220E-6
7.0172890E+3 9.9442767E-6
6.3000930E+3 1.0486351E-5
5.6561970E+3 1.1571468E-5
5.0781110E+3 1.2505415E-5
4.5591070E+3 1.3623446E-5
4.0931470E+3 1.5160217E-5
3.6748100E+3 1.6572377E-5
3.2992300E+3 1.8314556E-5
2.9620350E+3 2.0025826E-5
2.6593020E+3 2.2486494E-5
2.3875110E+3 2.4556745E-5
2.1434970E+3 2.6666547E-5
1.9244230E+3 3.0051516E-5
1.7277390E+3 3.3389029E-5
1.5511570E+3 3.7080213E-5
1.3926220E+3 3.9776080E-5
1.2502900E+3 4.4909593E-5
1.1225050E+3 5.1693646E-5
1.0077810E+3 5.6428732E-5
9.0478100E+2 6.3436816E-5
8.1230900E+2 7.4001475E-5
7.2928800E+2 8.0369929E-5
6.5475100E+2 9.2432596E-5
5.8783300E+2 1.0202657E-4
5.2775400E+2 1.1157571E-4
4.7381500E+2 1.2766078E-4
4.2539000E+2 1.2946684E-4
3.8191300E+2 1.3417445E-4
3.4288000E+2 1.5390075E-4
3.0783600E+2 1.6351296E-4
2.7637400E+2 1.9078891E-4
2.4812700E+2 1.4833511E-4
2.2276800E+2 1.7703207E-4
2.0000000E+2 2.0682299E-4
