f G/w
1.0000000E+6 1.7774260E-5
8.9779585E+5 1.8429183E-5
8.0603739E+5 1.9042826E-5
7.2365703E+5 1.9663516E-5
6.4969628E+5 2.0241243E-5
5.8329463E+5 2.0848173E-5
5.2367949E+5 2.1455383E-5
4.7015728E+5 2.2066226E-5
4.2210526E+5 2.2703365E-5
3.7896435E+5 2.3317551E-5
3.4023262E+5 2.3909599E-5
3.0545943E+5 2.4535618E-5
2.7424021E+5 2.5190007E-5
2.4621173E+5 2.5802861E-5
2.2104787E+5 2.6444367E-5
1.9845586E+5 2.7025708E-5
1.7817285E+5 2.7560498E-5
1.5996284E+5 2.8127501E-5
1.4361398E+5 2.8559023E-5
1.2893603E+5 2.8877080E-5
1.1575824E+5 2.9155331E-5
1.0392726E+5 2.9310989E-5
9.3305466E+4 2.9263259E-5
8.3769261E+4 2.9133862E-5
7.5207695E+4 2.8816094E-5
6.7521156E+4 2.8406507E-5
6.0620214E+4 2.7868101E-5
5.4424577E+4 2.7148633E-5
4.8862159E+4 2.6447432E-5
4.3868244E+4 2.5707247E-5
3.9384728E+4 2.4788521E-5
3.5359445E+4 2.3922076E-5
3.1745563E+4 2.3063133E-5
2.8501035E+4 2.2148715E-5
2.5588111E+4 2.1542811E-5
2.2972900E+4 2.0615681E-5
2.0624974E+4 2.0015812E-5
1.8517016E+4 1.9437176E-5
1.6624501E+4 1.8753715E-5
1.4925408E+4 1.8463253E-5
1.3399969E+4 1.8015198E-5
1.2030437E+4 1.8007751E-5
1.0800876E+4 1.7538055E-5
9.6969820E+3 1.7925728E-5
8.7059100E+3 1.8074692E-5
7.8161300E+3 1.8419763E-5
7.0172890E+3 1.8813394E-5
6.3000930E+3 1.9571921E-5
5.6561970E+3 2.0251056E-5
5.0781110E+3 2.1217227E-5
4.5591070E+3 2.2268504E-5
4.0931470E+3 2.3678458E-5
3.6748100E+3 2.5465298E-5
3.2992300E+3 2.6830246E-5
2.9620350E+3 2.9145889E-5
2.6593020E+3 3.1142697E-5
2.3875110E+3 3.3902954E-5
2.1434970E+3 3.6439468E-5
1.9244230E+3 3.9809747E-5
1.7277390E+3 4.3285310E-5
1.5511570E+3 4.7313830E-5
1.3926220E+3 5.1021568E-5
1.2502900E+3 5.5899620E-5
1.1225050E+3 6.1093388E-5
1.0077810E+3 6.6264545E-5
9.0478100E+2 7.2406847E-5
8.1230900E+2 8.0379075E-5
7.2928800E+2 8.7846765E-5
6.5475100E+2 9.8091586E-5
5.8783300E+2 1.0594328E-4
5.2775400E+2 1.1424837E-4
4.7381500E+2 1.2905474E-4
4.2539000E+2 1.3860395E-4
3.8191300E+2 1.5048698E-4
3.4288000E+2 1.6974038E-4
3.0783600E+2 1.8725599E-4
2.7637400E+2 1.9951647E-4
2.4812700E+2 2.1664470E-4
2.2276800E+2 2.3685607E-4
2.0000000E+2 2.7022353E-4
