fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B106FE100_T 1317912116 0 555 1.001052590E-04 1.108000000E+00 2.878348882E-10 0.000000000E+00 1.300000000E+00 7.591890033E-04 
B106FE101_T 1317912116 0 555 1.061982618E-04 1.108000000E+00 2.478979963E-10 0.000000000E+00 1.300000000E+00 5.712525676E-04 
B106FE102_T 1317912116 0 555 1.091787032E-04 1.108000000E+00 1.385212709E-10 0.000000000E+00 1.300000000E+00 6.634249337E-04 
B106FE103_T 1317912116 0 555 1.178410534E-04 1.108000000E+00 6.382962384E-11 0.000000000E+00 1.300000000E+00 7.066529741E-04 
B106FE140_T 1317912116 0 555 1.021312426E-04 1.108000000E+00 2.747230727E-10 0.000000000E+00 1.300000000E+00 7.279824677E-04 
B106FE141_T 1317912116 0 555 1.064708472E-04 1.108000000E+00 2.415585923E-10 0.000000000E+00 1.300000000E+00 5.563457970E-04 
B106FE142_T 1317912116 0 555 1.096250330E-04 1.108000000E+00 1.150942262E-10 0.000000000E+00 1.300000000E+00 6.089175975E-04 
B106FE210_T 1317912116 0 555 1.033663054E-04 1.108000000E+00 2.636515609E-10 0.000000000E+00 1.300000000E+00 6.765672354E-04 
B106FE211_T 1317912116 0 555 1.067530666E-04 1.108000000E+00 2.296652649E-10 0.000000000E+00 1.300000000E+00 5.487580032E-04 
B106FE212_T 1317912116 0 555 1.117701468E-04 1.108000000E+00 1.140460668E-10 0.000000000E+00 1.300000000E+00 6.253340921E-04 
B106FE310_T 1317912116 0 555 1.044693873E-04 1.108000000E+00 2.601167110E-10 0.000000000E+00 1.300000000E+00 5.860963422E-04 
B106FE311_T 1317912116 0 555 1.072529400E-04 1.108000000E+00 2.065875618E-10 0.000000000E+00 1.300000000E+00 6.717946737E-04 
B106FE312_T 1317912116 0 555 1.123928228E-04 1.108000000E+00 7.665864809E-11 0.000000000E+00 1.300000000E+00 7.029354220E-04 
B106FE460_T 1317912116 0 555 1.053196645E-04 1.108000000E+00 2.577694983E-10 0.000000000E+00 1.300000000E+00 5.455626511E-04 
B106FE461_T 1317912116 0 555 1.079437614E-04 1.108000000E+00 1.883183810E-10 0.000000000E+00 1.300000000E+00 4.584449540E-04 
B106FE462_T 1317912116 0 555 1.142113146E-04 1.108000000E+00 7.026188215E-11 0.000000000E+00 1.300000000E+00 4.872437524E-04 
B106FE680_T 1317912116 0 555 1.059221056E-04 1.108000000E+00 2.545650906E-10 0.000000000E+00 1.300000000E+00 6.023659840E-04 
B106FE681_T 1317912116 0 555 1.088674873E-04 1.108000000E+00 1.737758475E-10 0.000000000E+00 1.300000000E+00 6.710324830E-04 
B106FE682_T 1317912116 0 555 1.151009242E-04 1.108000000E+00 5.756030980E-11 0.000000000E+00 1.300000000E+00 5.754508760E-04 
