N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.117282315E+00 1.104193077E+00 1.092759035E+00 1.083053144E+00
1.600000000E+01 1.232633572E+00 1.229277083E+00 1.226706073E+00 1.224707137E+00
1.700000000E+01 1.260766186E+00 1.259980508E+00 1.259321581E+00 1.258935112E+00
1.549996187E+01 1.214635123E+00 1.211099088E+00 1.208249876E+00 1.205450335E+00
1.649996187E+01 1.239198181E+00 1.236572792E+00 1.234555052E+00 1.233502849E+00
1.674996808E+01 1.246298456E+00 1.244649528E+00 1.243158552E+00 1.242642315E+00
1.624993176E+01 1.236533611E+00 1.233329526E+00 1.231043568E+00 1.229305906E+00
1.574996808E+01 1.224908042E+00 1.221306482E+00 1.219000398E+00 1.216730974E+00
1.524993176E+01 1.194229334E+00 1.189383685E+00 1.184849653E+00 1.180772345E+00
