fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B105FE100_T 1317912116 0 555 8.691562541E-05 1.630000000E+00 1.223911182E+01 0.000000000E+00 1.300000000E+00 2.110251398E-03 
B105FE101_T 1317912116 0 555 8.816377702E-05 1.630000000E+00 1.089796879E+01 0.000000000E+00 1.300000000E+00 2.228008698E-03 
B105FE102_T 1317912116 0 555 9.026218908E-05 1.630000000E+00 5.320703581E+00 0.000000000E+00 1.300000000E+00 2.286056260E-03 
B105FE103_T 1317912116 0 555 9.409371922E-05 1.630000000E+00 1.950367666E+00 0.000000000E+00 1.300000000E+00 2.792043123E-03 
B105FE140_T 1317912116 0 555 8.729633577E-05 1.630000000E+00 1.219842953E+01 0.000000000E+00 1.300000000E+00 2.139544782E-03 
B105FE141_T 1317912116 0 555 8.822509535E-05 1.630000000E+00 1.024600367E+01 0.000000000E+00 1.300000000E+00 2.291951167E-03 
B105FE142_T 1317912116 0 555 9.104615542E-05 1.630000000E+00 4.393680914E+00 0.000000000E+00 1.300000000E+00 1.889823681E-03 
B105FE210_T 1317912116 0 555 8.757959002E-05 1.630000000E+00 1.211498406E+01 0.000000000E+00 1.300000000E+00 2.157503133E-03 
B105FE211_T 1317912116 0 555 8.826451339E-05 1.630000000E+00 9.221118247E+00 0.000000000E+00 1.300000000E+00 2.441040735E-03 
B105FE212_T 1317912116 0 555 9.128315800E-05 1.630000000E+00 3.369096751E+00 0.000000000E+00 1.300000000E+00 2.142914967E-03 
B105FE310_T 1317912116 0 555 8.779358067E-05 1.630000000E+00 1.196915733E+01 0.000000000E+00 1.300000000E+00 2.162884485E-03 
B105FE311_T 1317912116 0 555 8.791013634E-05 1.630000000E+00 8.069189129E+00 0.000000000E+00 1.300000000E+00 2.595884641E-03 
B105FE312_T 1317912116 0 555 9.282232648E-05 1.630000000E+00 2.763043438E+00 0.000000000E+00 1.300000000E+00 2.496727612E-03 
B105FE460_T 1317912116 0 555 8.798110326E-05 1.630000000E+00 1.175833318E+01 0.000000000E+00 1.300000000E+00 2.166396061E-03 
B105FE461_T 1317912116 0 555 8.821523757E-05 1.630000000E+00 7.218799948E+00 0.000000000E+00 1.300000000E+00 2.733287618E-03 
B105FE462_T 1317912116 0 555 9.334485444E-05 1.630000000E+00 2.364305310E+00 0.000000000E+00 1.300000000E+00 2.748760715E-03 
B105FE680_T 1317912116 0 555 8.809632804E-05 1.630000000E+00 1.138284437E+01 0.000000000E+00 1.300000000E+00 2.188399787E-03 
B105FE681_T 1317912116 0 555 8.933484463E-05 1.630000000E+00 6.579229347E+00 0.000000000E+00 1.300000000E+00 2.806577152E-03 
B105FE682_T 1317912116 0 555 9.385585920E-05 1.630000000E+00 2.131541384E+00 0.000000000E+00 1.300000000E+00 2.836030416E-03 
