N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.143974938E+00 1.139955640E+00 1.134686373E+00 1.128810780E+00
1.600000000E+01 1.256618232E+00 1.256299898E+00 1.256244986E+00 1.256275461E+00
1.700000000E+01 1.304367253E+00 1.304557533E+00 1.304619283E+00 1.304316629E+00
1.549996187E+01 1.229648016E+00 1.228775549E+00 1.228258543E+00 1.227375502E+00
1.649996187E+01 1.274114118E+00 1.273966305E+00 1.273622545E+00 1.273800006E+00
1.674996808E+01 1.286107296E+00 1.286177876E+00 1.285804248E+00 1.285827245E+00
1.624993176E+01 1.265965717E+00 1.265717695E+00 1.265562493E+00 1.265739299E+00
1.574996808E+01 1.243977706E+00 1.243659931E+00 1.243510606E+00 1.243366741E+00
1.524993176E+01 1.207095505E+00 1.205431622E+00 1.203314918E+00 1.200999914E+00
