T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 d N_B
340 001_340 34.101 5.234710E-1 3.777010E+1 7.892900E+1 1.560550E+1 4.402700E-1 3.544527E+1 1.000000E+2 1.000000E+10 1.000000E+10 3.800E-4 1.778E+16
340 002_340 34.101 5.232530E-1 3.772270E+1 7.890890E+1 1.557550E+1 4.399910E-1 3.539948E+1 1.000000E+2 1.468000E+10 1.468000E+10 3.800E-4 1.778E+16
340 003_340 34.101 5.229380E-1 3.765466E+1 7.888080E+1 1.553240E+1 4.395960E-1 3.533344E+1 1.000000E+2 2.154000E+10 2.154000E+10 3.800E-4 1.778E+16
340 004_340 34.101 5.224810E-1 3.755792E+1 7.884220E+1 1.547150E+1 4.390440E-1 3.523893E+1 1.000000E+2 3.162000E+10 3.162000E+10 3.800E-4 1.778E+16
340 005_340 34.101 5.218270E-1 3.742232E+1 7.879090E+1 1.538630E+1 4.382900E-1 3.510519E+1 1.000000E+2 4.642000E+10 4.642000E+10 3.800E-4 1.778E+16
340 006_340 34.101 5.209000E-1 3.723588E+1 7.872520E+1 1.526970E+1 4.372890E-1 3.491897E+1 1.000000E+2 6.813000E+10 6.813000E+10 3.800E-4 1.778E+16
340 007_340 34.101 5.195970E-1 3.698620E+1 7.864780E+1 1.511450E+1 4.360110E-1 3.466531E+1 1.000000E+2 1.000000E+11 1.000000E+11 3.800E-4 1.778E+16
340 008_340 34.101 5.178040E-1 3.666311E+1 7.853340E+1 1.490900E+1 4.342300E-1 3.433436E+1 1.000000E+2 1.468000E+11 1.468000E+11 3.800E-4 1.778E+16
340 009_340 34.101 5.155080E-1 3.626228E+1 7.844640E+1 1.466440E+1 4.317030E-1 3.396866E+1 1.000000E+2 2.154000E+11 2.154000E+11 3.800E-4 1.778E+16
340 010_340 34.101 5.127260E-1 3.578827E+1 7.836190E+1 1.437910E+1 4.289860E-1 3.351878E+1 1.000000E+2 3.162000E+11 3.162000E+11 3.800E-4 1.778E+16
340 011_340 34.101 5.095300E-1 3.525420E+1 7.827740E+1 1.406100E+1 4.262240E-1 3.298969E+1 1.000000E+2 4.642000E+11 4.642000E+11 3.800E-4 1.778E+16
340 012_340 34.101 5.059780E-1 3.467678E+1 7.815900E+1 1.371350E+1 4.229160E-1 3.242616E+1 1.000000E+2 6.813000E+11 6.813000E+11 3.800E-4 1.778E+16
340 013_340 34.101 5.022480E-1 3.406927E+1 7.806010E+1 1.335700E+1 4.192860E-1 3.185662E+1 1.000000E+2 1.000000E+12 1.000000E+12 3.800E-4 1.778E+16
340 014_340 34.101 4.982650E-1 3.343708E+1 7.795490E+1 1.298770E+1 4.158810E-1 3.122936E+1 1.000000E+2 1.468000E+12 1.468000E+12 3.800E-4 1.778E+16
340 015_340 34.101 4.940090E-1 3.277866E+1 7.780350E+1 1.259870E+1 4.117370E-1 3.059890E+1 1.000000E+2 2.154000E+12 2.154000E+12 3.800E-4 1.778E+16
340 016_340 34.101 4.895030E-1 3.208929E+1 7.767690E+1 1.220130E+1 4.075680E-1 2.993695E+1 1.000000E+2 3.162000E+12 3.162000E+12 3.800E-4 1.778E+16
340 017_340 34.101 4.846400E-1 3.136450E+1 7.751090E+1 1.178200E+1 4.032430E-1 2.921825E+1 1.000000E+2 4.642000E+12 4.642000E+12 3.800E-4 1.778E+16
340 018_340 34.101 4.795610E-1 3.060135E+1 7.736240E+1 1.135310E+1 3.983740E-1 2.849858E+1 1.000000E+2 6.813000E+12 6.813000E+12 3.800E-4 1.778E+16
340 019_340 34.101 4.741510E-1 2.979834E+1 7.717360E+1 1.090380E+1 3.936600E-1 2.769857E+1 1.000000E+2 1.000000E+13 1.000000E+13 3.800E-4 1.778E+16
340 020_340 34.101 4.685450E-1 2.895510E+1 7.700130E+1 1.044660E+1 3.882790E-1 2.690484E+1 1.000000E+2 1.468000E+13 1.468000E+13 3.800E-4 1.778E+16
340 021_340 34.101 4.626900E-1 2.807221E+1 7.677610E+1 9.972200E+0 3.830460E-1 2.603409E+1 1.000000E+2 2.154000E+13 2.154000E+13 3.800E-4 1.778E+16
340 022_340 34.101 4.566140E-1 2.715124E+1 7.657560E+1 9.493600E+0 3.773770E-1 2.515672E+1 1.000000E+2 3.162000E+13 3.162000E+13 3.800E-4 1.778E+16
340 023_340 34.101 4.503920E-1 2.619476E+1 7.630150E+1 9.002000E+0 3.715460E-1 2.422845E+1 1.000000E+2 4.642000E+13 4.642000E+13 3.800E-4 1.778E+16
340 024_340 34.101 4.438920E-1 2.520643E+1 7.606180E+1 8.510500E+0 3.658040E-1 2.326523E+1 1.000000E+2 6.813000E+13 6.813000E+13 3.800E-4 1.778E+16
340 025_340 34.101 4.372370E-1 2.419091E+1 7.574490E+1 8.011700E+0 3.593210E-1 2.229666E+1 1.000000E+2 1.000000E+14 1.000000E+14 3.800E-4 1.778E+16
