N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.192631243E+00 1.192802337E+00 1.192286078E+00 1.189049823E+00 1.178777535E+00 1.151284671E+00 1.088498689E+00 1.012808505E+00 1.013993409E+00 1.017295942E+00 1.023455162E+00
1.600000000E+01 1.213208454E+00 1.215578815E+00 1.218050978E+00 1.220112035E+00 1.222435634E+00 1.224554377E+00 1.225595549E+00 1.226587455E+00 1.226518924E+00 1.224638452E+00 1.221314756E+00
1.700000000E+01 1.243236535E+00 1.245474635E+00 1.247933175E+00 1.249995703E+00 1.252240479E+00 1.254024972E+00 1.254364557E+00 1.254410374E+00 1.253100600E+00 1.249596325E+00 1.245613875E+00
1.549996187E+01 1.199879979E+00 1.201676535E+00 1.203648254E+00 1.205768890E+00 1.207545064E+00 1.208301882E+00 1.207607286E+00 1.202886740E+00 1.189202927E+00 1.157858492E+00 1.094008049E+00
1.649996187E+01 1.217125908E+00 1.220060648E+00 1.222650315E+00 1.225649213E+00 1.228353130E+00 1.230097559E+00 1.231771613E+00 1.232748095E+00 1.232146424E+00 1.231331892E+00 1.229506708E+00
1.674996808E+01 1.226337648E+00 1.228997758E+00 1.231296813E+00 1.233989781E+00 1.236394714E+00 1.237827333E+00 1.239204496E+00 1.239713324E+00 1.238540463E+00 1.236930133E+00 1.234181249E+00
1.624993176E+01 1.215100480E+00 1.217701807E+00 1.220542630E+00 1.222976303E+00 1.225701882E+00 1.227930113E+00 1.229241332E+00 1.230258873E+00 1.230662205E+00 1.229303909E+00 1.227608275E+00
1.574996808E+01 1.207159771E+00 1.208827847E+00 1.211072140E+00 1.213384164E+00 1.215552915E+00 1.216987701E+00 1.218281116E+00 1.218467258E+00 1.216184123E+00 1.210371376E+00 1.196050036E+00
1.524993176E+01 1.196379167E+00 1.197469478E+00 1.198972373E+00 1.200022361E+00 1.199730147E+00 1.195711276E+00 1.183552767E+00 1.152621943E+00 1.086583005E+00 1.009702112E+00 1.010636688E+00
