N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 3.162E+16 315 3.800E-4 3.733168E+1 1.753590E+1 5.765420E-1 8.147400E+1
1.468000E+10 3.162E+16 315 3.800E-4 3.728508E+1 1.750820E+1 5.763980E-1 8.146770E+1
2.154000E+10 3.162E+16 315 3.800E-4 3.721824E+1 1.746860E+1 5.761890E-1 8.145870E+1
3.162000E+10 3.162E+16 315 3.800E-4 3.712333E+1 1.740540E+1 5.758910E-1 8.141340E+1
4.642000E+10 3.162E+16 315 3.800E-4 3.699050E+1 1.732670E+1 5.754700E-1 8.139600E+1
6.813000E+10 3.162E+16 315 3.800E-4 3.680823E+1 1.721890E+1 5.748830E-1 8.137330E+1
1.000000E+11 3.162E+16 315 3.800E-4 3.656468E+1 1.707530E+1 5.740850E-1 8.134480E+1
1.468000E+11 3.162E+16 315 3.800E-4 3.625013E+1 1.689020E+1 5.730310E-1 8.131060E+1
2.154000E+11 3.162E+16 315 3.800E-4 3.586030E+1 1.666140E+1 5.716930E-1 8.127090E+1
3.162000E+11 3.162E+16 315 3.800E-4 3.539881E+1 1.639100E+1 5.700640E-1 8.122580E+1
4.642000E+11 3.162E+16 315 3.800E-4 3.487661E+1 1.608510E+1 5.680830E-1 8.118530E+1
6.813000E+11 3.162E+16 315 3.800E-4 3.430758E+1 1.574440E+1 5.658650E-1 8.110050E+1
1.000000E+12 3.162E+16 315 3.800E-4 3.370263E+1 1.538800E+1 5.634260E-1 8.103660E+1
1.468000E+12 3.162E+16 315 3.800E-4 3.306639E+1 1.501290E+1 5.607520E-1 8.096690E+1
2.154000E+12 3.162E+16 315 3.800E-4 3.239810E+1 1.461830E+1 5.577230E-1 8.090160E+1
3.162000E+12 3.162E+16 315 3.800E-4 3.169469E+1 1.419580E+1 5.544170E-1 8.078640E+1
4.642000E+12 3.162E+16 315 3.800E-4 3.095321E+1 1.375850E+1 5.508520E-1 8.069220E+1
6.813000E+12 3.162E+16 315 3.800E-4 3.017173E+1 1.330040E+1 5.468910E-1 8.060500E+1
1.000000E+13 3.162E+16 315 3.800E-4 2.934934E+1 1.281480E+1 5.426810E-1 8.045810E+1
1.468000E+13 3.162E+16 315 3.800E-4 2.848607E+1 1.231680E+1 5.381620E-1 8.034390E+1
2.154000E+13 3.162E+16 315 3.800E-4 2.758288E+1 1.179540E+1 5.333500E-1 8.017900E+1
3.162000E+13 3.162E+16 315 3.800E-4 2.664169E+1 1.126460E+1 5.282900E-1 8.003500E+1
4.642000E+13 3.162E+16 315 3.800E-4 2.566547E+1 1.071620E+1 5.229570E-1 7.984050E+1
6.813000E+13 3.162E+16 315 3.800E-4 2.465825E+1 1.016350E+1 5.173820E-1 7.966530E+1
1.000000E+14 3.162E+16 315 3.800E-4 2.362504E+1 9.599800E+0 5.116060E-1 7.942470E+1
