fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
00L1 28614 317.08 36.566 1.046741512E+00 7.664825105E-01 1.022993828E-09 1.887882643E+06 5.905349657E-05 3.148538986E-01 5.905349657E-05 -2.984958452E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.873017409E-02 
00L2 28780 326.38 35.524 1.046045744E+00 8.014432183E-01 5.674438843E-09 2.671513858E+06 6.028831169E-05 2.740014385E-01 6.028831169E-05 -3.359750430E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.162613213E-02 
00L3 28900 332.68 34.851 1.037380490E+00 8.371400316E-01 8.763490747E-09 1.386606707E+06 6.075148669E-05 2.634204014E-01 6.075148669E-05 -3.468060504E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 1.085460705E-01 
00L4 29026 330.09 35.124 1.042704612E+00 8.057046668E-01 6.199311750E-09 2.240496790E+06 6.009402538E-05 2.741008972E-01 6.009402538E-05 -3.369389592E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 4.623901436E-02 
00L5 29140 328.63 35.28 1.030991562E+00 8.454136097E-01 4.621995081E-09 5.086490953E+05 5.988681980E-05 2.762016125E-01 5.986374655E-05 -3.356625426E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 4.306359137E-02 
00L6 29268 329.09 35.231 1.031210672E+00 8.536391198E-01 5.013829876E-09 8.529313494E+05 5.965904831E-05 2.748863392E-01 5.965904831E-05 -3.384258313E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 9.611967354E-03 
00L7 29426 329.66 35.17 1.035295197E+00 8.356176219E-01 5.725436374E-09 1.187594269E+06 5.985066535E-05 2.735885418E-01 5.985066535E-05 -3.389425525E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.032072571E-02 
00L8 29550 329.67 35.169 1.033104843E+00 8.458943137E-01 5.580807395E-09 7.346357349E+05 5.970814319E-05 2.731629620E-01 5.968435826E-05 -3.404165306E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 8.856160634E-03 
00L9 29674 329.69 35.167 1.024874009E+00 8.985659487E-01 5.182253941E-09 6.866962353E+05 5.940739322E-05 2.704571088E-01 5.937075067E-05 -3.456384444E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 1.194125295E-02 
0L10 29788 329.76 35.16 1.033191007E+00 8.277963417E-01 5.685903016E-09 6.245974868E+05 5.951749404E-05 2.702518890E-01 5.950710072E-05 -3.451083391E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 9.482477531E-03 
0L11 29906 329.82 35.153 1.043468638E+00 7.899525210E-01 6.453387589E-09 5.103322514E+06 5.949938807E-05 2.723493153E-01 5.949267068E-05 -3.425336404E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.815332743E-02 
0L12 30024 329.86 35.149 1.032360617E+00 8.464511472E-01 5.706604740E-09 9.696828623E+05 5.948830022E-05 2.727085632E-01 5.015215251E-05 -4.057930741E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 7.958419537E-01 
0L13 30150 329.88 35.147 1.025237308E+00 8.972705604E-01 5.286491897E-09 5.776717227E+05 5.964732876E-05 2.787570496E-01 5.964487128E-05 -3.338059075E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 1.775599133E+00 
0L14 30264 329.91 35.144 9.153149483E-01 1.693169190E+00 1.346487087E-09 1.000000000E+12 5.954048815E-05 2.791023006E-01 5.954048815E-05 -3.339774741E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.830347761E-01 
0L15 30388 329.94 35.14 1.024594589E+00 8.923433709E-01 5.255324529E-09 3.984790828E+05 5.981193831E-05 2.700725289E-01 5.981193831E-05 -3.435774842E+07 -5.550000000E+02 5.550000000E+02 -5.550000000E+02 2.581522113E-02 
