fname time Tem kT_1 Rs_EA Rsh_EA If_EA 
001 14:0 273.2 42.44 5.297E+000 4.298E+004 1.114E-004 
002 14:1 273.2 42.44 4.610E+000 4.793E+004 1.350E-004 
003 14:2 291.7 39.75 4.136E+000 3.780E+004 1.192E-004 
004 14:3 273.2 42.44 4.846E+000 4.377E+004 9.731E-005 
005 14:4 273.2 42.44 5.195E+000 3.948E+004 8.450E-005 
006 14:5 273.2 42.44 5.201E+000 3.720E+004 1.039E-004 
007 14:6 273.2 42.44 5.113E+000 4.691E+004 8.952E-005 
008 14:7 273.2 42.44 5.077E+000 4.476E+004 7.271E-005 
009 14:8 273.2 42.44 3.009E+000 3.464E+004 6.242E-005 
010 14:9 273.2 42.44 3.175E+000 2.820E+004 7.782E-005 
011 14:10 273.2 42.44 3.169E+000 2.631E+004 6.673E-005 
012 14:11 273.2 42.44 5.069E+000 3.766E+004 5.262E-005 
013 14:12 273.2 42.44 5.053E+000 5.712E+004 4.368E-005 
014 14:13 291.7 39.75 5.066E+000 4.740E+004 5.482E-005 
015 14:14 273.2 42.44 5.110E+000 4.557E+004 4.454E-005 
016 14:15 273.2 42.44 4.937E+000 7.501E+004 3.692E-005 
017 14:16 273.2 42.44 4.899E+000 9.341E+004 2.920E-005 
018 14:17 273.2 42.44 4.834E+000 1.010E+005 3.734E-005 
019 14:19 273.2 42.44 4.965E+000 8.744E+004 3.065E-005 
020 14:19 273.2 42.44 5.008E+000 8.005E+004 2.411E-005 
021 14:21 273.2 42.44 4.815E+000 1.016E+005 1.829E-005 
022 14:21 273.2 42.44 2.690E+000 5.191E+004 2.361E-005 
