fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g Iph Voc Isc Pm FF Vm Im dev 
00S1 7:8 295.4 39.25 1.000E+000 2.116E+000 3.943E-006 7.815E+004 2.321E+000 9.399E-008 1.246E-005 1.386E-001 1.246E-005 6.456E-007 3.738E-001 8.360E-002 7.714E-006 2.706E-003 
00S2 7:23 297.1 39.02 1.000E+000 2.108E+000 3.970E-006 7.348E+004 2.316E+000 9.589E-008 1.271E-005 1.333E-001 1.271E-005 6.247E-007 3.687E-001 8.000E-002 7.798E-006 1.317E-003 
00S3 7:59 299 38.78 1.000E+000 2.098E+000 3.827E-006 6.853E+004 2.318E+000 9.477E-008 1.269E-005 1.249E-001 1.269E-005 5.713E-007 3.603E-001 7.420E-002 7.689E-006 1.099E-003 
00S4 8:19 301 38.52 1.000E+000 2.095E+000 3.588E-006 6.362E+004 2.321E+000 9.724E-008 1.265E-005 1.180E-001 1.265E-005 5.268E-007 3.530E-001 6.940E-002 7.580E-006 1.295E-003 
00S5 8:43 304 38.14 1.000E+000 2.018E+000 3.193E-006 5.679E+004 2.321E+000 1.012E-007 1.245E-005 1.072E-001 1.245E-005 4.565E-007 3.419E-001 6.220E-002 7.327E-006 8.695E-004 
00S6 9:1 306.4 37.84 1.000E+000 1.915E+000 2.959E-006 5.176E+004 2.319E+000 1.027E-007 1.259E-005 9.948E-002 1.259E-005 4.189E-007 3.344E-001 5.710E-002 7.323E-006 3.929E-003 
00S7 9:23 308.8 37.55 1.000E+000 1.966E+000 2.840E-006 4.710E+004 2.320E+000 1.048E-007 1.254E-005 9.147E-002 1.254E-005 3.747E-007 3.266E-001 5.200E-002 7.191E-006 6.598E-004 
00S8 9:40 310.9 37.29 1.000E+000 2.000E+000 2.840E-006 4.330E+004 2.319E+000 1.077E-007 1.249E-005 8.516E-002 1.249E-005 3.408E-007 3.204E-001 4.800E-002 7.085E-006 1.007E-003 
00S9 10:2 313.3 37.01 1.000E+000 2.239E+000 2.917E-006 3.925E+004 2.314E+000 1.108E-007 1.254E-005 7.845E-002 1.254E-005 3.091E-007 3.142E-001 4.380E-002 7.040E-006 1.897E-003 
0S10 10:21 315.5 36.75 1.000E+000 2.267E+000 2.681E-006 3.579E+004 2.314E+000 1.139E-007 1.242E-005 7.214E-002 1.241E-005 2.760E-007 3.082E-001 3.990E-002 6.900E-006 2.920E-002 
0S11 10:42 318 36.46 1.000E+000 2.199E+000 2.645E-006 3.213E+004 2.309E+000 1.157E-007 1.265E-005 6.604E-002 1.265E-005 2.529E-007 3.028E-001 3.620E-002 6.968E-006 9.470E-004 
0S12 11:1 320.1 36.22 1.000E+000 2.190E+000 2.786E-006 2.926E+004 2.304E+000 1.183E-007 1.253E-005 6.041E-002 1.253E-005 2.253E-007 2.978E-001 3.290E-002 6.829E-006 1.168E-002 
0S13 11:22 322.4 35.96 1.000E+000 2.273E+000 2.811E-006 2.631E+004 2.303E+000 1.205E-007 1.240E-005 5.455E-002 1.240E-005 1.978E-007 2.925E-001 2.940E-002 6.706E-006 9.346E-004 
0S14 11:45 325.3 35.64 1.000E+000 2.330E+000 2.916E-006 2.285E+004 2.289E+000 1.255E-007 1.261E-005 4.915E-002 1.261E-005 1.784E-007 2.879E-001 2.630E-002 6.758E-006 1.100E-003 
0S15 12:10 327.8 35.37 1.000E+000 2.423E+000 2.861E-006 2.006E+004 2.288E+000 1.270E-007 1.266E-005 4.397E-002 1.265E-005 1.576E-007 2.834E-001 2.340E-002 6.708E-006 9.879E-004 
0S16 12:28 330.2 35.11 1.000E+000 2.406E+000 2.960E-006 1.752E+004 2.266E+000 1.351E-007 1.223E-005 3.917E-002 1.222E-005 1.338E-007 2.794E-001 2.070E-002 6.431E-006 1.334E-003 
