Fe T nFsrh nFBsrh dnsrh nF nFB dn
1.000000000E+01 290 1.144246025E+00 1.119812113E+0 2.443391200E-02 1.144246025E+00 1.119812113E+0 2.443391200E-02
1.000000000E+01 295 1.135289575E+00 1.117660706E+0 1.762886900E-02 1.135289575E+00 1.117660706E+0 1.762886900E-02
1.000000000E+01 300 1.117769420E+00 1.110628466E+0 7.140954000E-03 1.117769420E+00 1.110628466E+0 7.140954000E-03
1.000000000E+01 305 1.096245934E+00 1.095890253E+0 3.556810000E-04 1.096245934E+00 1.095890253E+0 3.556810000E-04
1.000000000E+01 310 1.072668248E+00 1.073335736E+0 -6.674880000E-04 1.072668248E+00 1.073335736E+0 -6.674880000E-04
1.000000000E+01 315 1.033792871E+00 1.048438641E+0 -1.464577000E-02 1.033792871E+00 1.048438641E+0 -1.464577000E-02
1.000000000E+01 320 1.007929669E+00 1.028234177E+0 -2.030450800E-02 1.007929669E+00 1.028234177E+0 -2.030450800E-02
1.000000000E+01 325 1.007189979E+00 1.015221783E+0 -8.031804000E-03 1.007189979E+00 1.015221783E+0 -8.031804000E-03
1.000000000E+01 330 1.008153893E+00 1.007920030E+0 2.338630000E-04 1.008153893E+00 1.007920030E+0 2.338630000E-04
1.000000000E+01 335 1.010357508E+00 1.004085252E+0 6.272256000E-03 1.010357508E+00 1.004085252E+0 6.272256000E-03
1.000000000E+01 340 1.017819021E+00 1.002118656E+0 1.570036500E-02 1.017819021E+00 1.002118656E+0 1.570036500E-02
1.016672606E+01 290 1.144305302E+00 1.122466529E+0 2.183877300E-02 1.144305302E+00 1.122466529E+0 2.183877300E-02
1.016672606E+01 295 1.135419983E+00 1.120267458E+0 1.515252500E-02 1.135419983E+00 1.120267458E+0 1.515252500E-02
1.016672606E+01 300 1.117794604E+00 1.113079419E+0 4.715185000E-03 1.117794604E+00 1.113079419E+0 4.715185000E-03
1.016672606E+01 305 1.096657587E+00 1.098014684E+0 -1.357097000E-03 1.096657587E+00 1.098014684E+0 -1.357097000E-03
1.016672606E+01 310 1.072684800E+00 1.074960476E+0 -2.275676000E-03 1.072684800E+00 1.074960476E+0 -2.275676000E-03
1.016672606E+01 315 1.034212378E+00 1.049511790E+0 -1.529941200E-02 1.034212378E+00 1.049511790E+0 -1.529941200E-02
1.016672606E+01 320 1.007955384E+00 1.028859700E+0 -2.090431600E-02 1.007955384E+00 1.028859700E+0 -2.090431600E-02
1.016672606E+01 325 1.007187774E+00 1.015559019E+0 -8.371245000E-03 1.007187774E+00 1.015559019E+0 -8.371245000E-03
1.016672606E+01 330 1.008148339E+00 1.008095496E+0 5.284300000E-05 1.008148339E+00 1.008095496E+0 5.284300000E-05
1.016672606E+01 335 1.010342856E+00 1.004175760E+0 6.167096000E-03 1.010342856E+00 1.004175760E+0 6.167096000E-03
1.016672606E+01 340 1.017780748E+00 1.002165594E+0 1.561515400E-02 1.017780748E+00 1.002165594E+0 1.561515400E-02
1.033324570E+01 290 1.144392211E+00 1.125131828E+0 1.926038300E-02 1.144392211E+00 1.125131828E+0 1.926038300E-02
1.033324570E+01 295 1.135609877E+00 1.122884898E+0 1.272497900E-02 1.135609877E+00 1.122884898E+0 1.272497900E-02
1.033324570E+01 300 1.117831164E+00 1.115540422E+0 2.290742000E-03 1.117831164E+00 1.115540422E+0 2.290742000E-03
1.033324570E+01 305 1.097189633E+00 1.100147826E+0 -2.958193000E-03 1.097189633E+00 1.100147826E+0 -2.958193000E-03
1.033324570E+01 310 1.072708195E+00 1.076591877E+0 -3.883682000E-03 1.072708195E+00 1.076591877E+0 -3.883682000E-03
1.033324570E+01 315 1.034823674E+00 1.050589339E+0 -1.576566500E-02 1.034823674E+00 1.050589339E+0 -1.576566500E-02
1.033324570E+01 320 1.007862082E+00 1.029487788E+0 -2.162570600E-02 1.007862082E+00 1.029487788E+0 -2.162570600E-02
1.033324570E+01 325 1.007204974E+00 1.015897638E+0 -8.692664000E-03 1.007204974E+00 1.015897638E+0 -8.692664000E-03
1.033324570E+01 330 1.008140425E+00 1.008271683E+0 -1.312580000E-04 1.008140425E+00 1.008271683E+0 -1.312580000E-04
1.033324570E+01 335 1.010321660E+00 1.004266639E+0 6.055021000E-03 1.010321660E+00 1.004266639E+0 6.055021000E-03
1.033324570E+01 340 1.017725223E+00 1.002212725E+0 1.551249800E-02 1.017725223E+00 1.002212725E+0 1.551249800E-02
1.049996187E+01 290 1.144519553E+00 1.127814304E+0 1.670524900E-02 1.144519553E+00 1.127814304E+0 1.670524900E-02
1.049996187E+01 295 1.135884925E+00 1.125519205E+0 1.036572000E-02 1.135884925E+00 1.125519205E+0 1.036572000E-02
1.049996187E+01 300 1.117884023E+00 1.118017285E+0 -1.332620000E-04 1.117884023E+00 1.118017285E+0 -1.332620000E-04
1.049996187E+01 305 1.097960106E+00 1.102294714E+0 -4.334608000E-03 1.097960106E+00 1.102294714E+0 -4.334608000E-03
1.049996187E+01 310 1.072743323E+00 1.078233793E+0 -5.490470000E-03 1.072743323E+00 1.078233793E+0 -5.490470000E-03
1.049996187E+01 315 1.035711264E+00 1.051673833E+0 -1.596256900E-02 1.035711264E+00 1.051673833E+0 -1.596256900E-02
1.049996187E+01 320 1.007890575E+00 1.030119923E+0 -2.222934800E-02 1.007890575E+00 1.030119923E+0 -2.222934800E-02
1.049996187E+01 325 1.007189084E+00 1.016238439E+0 -9.049355000E-03 1.007189084E+00 1.016238439E+0 -9.049355000E-03
1.049996187E+01 330 1.008129188E+00 1.008449004E+0 -3.198160000E-04 1.008129188E+00 1.008449004E+0 -3.198160000E-04
1.049996187E+01 335 1.010291213E+00 1.004358104E+0 5.933109000E-03 1.010291213E+00 1.004358104E+0 5.933109000E-03
1.049996187E+01 340 1.017645102E+00 1.002260160E+0 1.538494200E-02 1.017645102E+00 1.002260160E+0 1.538494200E-02
1.066670514E+01 290 1.144705994E+00 1.130511108E+0 1.419488600E-02 1.144705994E+00 1.130511108E+0 1.419488600E-02
1.066670514E+01 295 1.136281794E+00 1.128167584E+0 8.114210000E-03 1.136281794E+00 1.128167584E+0 8.114210000E-03
1.066670514E+01 300 1.117960241E+00 1.120507378E+0 -2.547137000E-03 1.117960241E+00 1.120507378E+0 -2.547137000E-03
