T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.195817079E+00 1.214026345E+00 1.225394317E+00 1.235361738E+00 1.244745071E+00 1.253531132E+00 1.262192137E+00 1.270442689E+00 1.278500387E+00
295 1.183097020E+00 1.211058803E+00 1.225801276E+00 1.236626671E+00 1.246438307E+00 1.255382197E+00 1.264502140E+00 1.273274194E+00 1.281723257E+00
300 1.155072952E+00 1.204220614E+00 1.225217111E+00 1.238046587E+00 1.248521723E+00 1.257879286E+00 1.267453218E+00 1.276638991E+00 1.285318099E+00
305 1.098965672E+00 1.188213746E+00 1.222171458E+00 1.238919994E+00 1.250725894E+00 1.260806043E+00 1.270801586E+00 1.280231640E+00 1.289048240E+00
310 1.016474453E+00 1.154601633E+00 1.213662326E+00 1.238249218E+00 1.252733568E+00 1.263653982E+00 1.273139472E+00 1.283741892E+00 1.292663193E+00
315 1.016846630E+00 1.090031402E+00 1.194680227E+00 1.234274533E+00 1.253436504E+00 1.266135722E+00 1.276190818E+00 1.287014488E+00 1.295788225E+00
320 1.019320469E+00 1.013420993E+00 1.157138471E+00 1.224176267E+00 1.252013321E+00 1.267672716E+00 1.278702503E+00 1.289744735E+00 1.298142496E+00
325 1.024514284E+00 1.013846866E+00 1.090565036E+00 1.202929127E+00 1.246949185E+00 1.267613002E+00 1.280211642E+00 1.291565533E+00 1.299302529E+00
330 1.033261652E+00 1.015820700E+00 1.010927316E+00 1.163543971E+00 1.235417154E+00 1.265118429E+00 1.280421800E+00 1.292087178E+00 1.299044301E+00
335 1.046391836E+00 1.019798654E+00 1.011231707E+00 1.097069686E+00 1.213183591E+00 1.258705397E+00 1.278701434E+00 1.291254949E+00 1.297394818E+00
340 1.064442374E+00 1.026374431E+00 1.012648963E+00 1.008744314E+00 1.174074944E+00 1.245943812E+00 1.274205751E+00 1.288551133E+00 1.293888760E+00
