fname V Rs Rt Qt nt Rr Qr nr rmsre
d61am1V2n1 -1.2 2.7471665E+1 2.3831712E+3 5.7762870E-10 1.0000000E+0 3.7776103E+4 1.7974630E-10 9.7852072E-1 9.1302247E-3
d61am1Vn1 -1 2.8416292E+1 2.2614642E+3 6.1102505E-10 1.0000000E+0 3.5621176E+4 1.9407403E-10 9.7975150E-1 8.7828496E-3
d61am0V8n1 -0.8 2.7594417E+1 1.9291956E+3 6.4059759E-10 1.0000000E+0 3.3717055E+4 2.3416123E-10 9.7574710E-1 8.7682505E-3
d61am0V6n1 -0.6 2.8611252E+1 1.8279898E+3 6.8536297E-10 1.0000000E+0 3.1139481E+4 2.4728125E-10 9.8017370E-1 2.5482744E-2
d61am0V4n1 -0.4 2.8072008E+1 1.5400431E+3 7.3075260E-10 1.0000000E+0 2.8245409E+4 3.0434189E-10 9.7724763E-1 1.6595137E-2
d61am0V4n1 -0.4 2.8072008E+1 1.5400431E+3 7.3075260E-10 1.0000000E+0 2.8245409E+4 3.0434189E-10 9.7724763E-1 1.6595137E-2
d61am0V2n1 -0.2 2.6601547E+1 1.2184937E+3 7.8165723E-10 1.0000000E+0 2.4817665E+4 3.9563109E-10 9.7401856E-1 1.6794017E-2
d61a0Vn1 0 1.9603440E+1 8.3790383E+2 8.1862064E-10 1.0000000E+0 2.2291033E+4 5.5833710E-10 9.7273562E-1 9.2311352E-3
d61a0V2n1 0.2 1.8202275E+1 5.8609354E+2 9.1077036E-10 1.0000000E+0 1.9448334E+4 9.9377662E-10 9.5785214E-1 1.3767849E-2
d61a0V4n1 0.4 1.1695518E+1 5.5315040E+2 5.3274256E-9 9.0334043E-1 1.0491269E+4 7.7438744E-10 1.0000000E+0 1.2167362E-2
