N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 8.345700000E-05 6.640100000E-05 5.421700000E-05 4.528200000E-05
1.600000000E+01 3.883520000E-04 3.669350000E-04 3.527590000E-04 3.446740000E-04
1.700000000E+01 4.199284000E-03 4.020192000E-03 3.909194000E-03 3.845193000E-03
1.549996187E+01 -8.867900000E-05 -8.854800000E-05 -8.458400000E-05 -7.804400000E-05
1.649996187E+01 1.286800000E-03 1.228654000E-03 1.189140000E-03 1.165399000E-03
1.674996808E+01 2.307694000E-03 2.201627000E-03 2.137844000E-03 2.092166000E-03
1.624993176E+01 7.270580000E-04 6.908220000E-04 6.686250000E-04 6.525390000E-04
1.574996808E+01 1.395260000E-04 1.282940000E-04 1.221640000E-04 1.200250000E-04
1.524993176E+01 5.637800000E-05 4.463900000E-05 3.687600000E-05 3.129800000E-05
