T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 -2.405604000E-03 1.338149100E-02 2.235188800E-02 2.583301200E-02 3.202381600E-02 4.190581200E-02 5.182235200E-02 5.464078800E-02 4.939334800E-02
295 -1.900688900E-02 8.740778000E-03 2.085898100E-02 2.565445100E-02 3.144918500E-02 4.106585800E-02 5.096495300E-02 5.445624000E-02 5.011526600E-02
300 -5.394987400E-02 -1.920737000E-03 1.781276600E-02 2.468785000E-02 3.108853700E-02 4.067236100E-02 5.140107000E-02 5.579484200E-02 5.177915900E-02
305 -1.194164350E-01 -2.381580300E-02 1.105394200E-02 2.280020900E-02 3.062530200E-02 4.117308000E-02 5.183279400E-02 5.726313200E-02 5.492550300E-02
310 -1.633440010E-01 -6.573976700E-02 -2.353941000E-03 1.891910500E-02 2.972890800E-02 4.148622000E-02 5.296011000E-02 5.961092600E-02 5.856464900E-02
315 -1.333068050E-01 -1.379894000E-01 -2.774580100E-02 1.142782800E-02 2.783961600E-02 4.168874200E-02 5.516784100E-02 6.330833800E-02 6.301433400E-02
320 -6.442279800E-02 -1.694250720E-01 -7.362024900E-02 -3.329555000E-03 2.440716500E-02 4.207995600E-02 5.699135100E-02 6.681589100E-02 6.889338500E-02
325 1.035878800E-02 -1.355217660E-01 -1.479233410E-01 -3.030072700E-02 1.654610800E-02 4.087270700E-02 5.867802300E-02 7.057748900E-02 7.452629500E-02
330 1.806281900E-02 -6.349452800E-02 -1.755165210E-01 -7.608513900E-02 5.998660000E-04 3.752651600E-02 6.083998300E-02 7.544375800E-02 8.026372200E-02
335 2.809676400E-02 9.272651000E-03 -1.411553220E-01 -1.479383760E-01 -2.490191100E-02 3.134343600E-02 6.084984900E-02 7.890398700E-02 8.695071000E-02
340 4.040724100E-02 1.507969900E-02 -7.189857600E-02 -1.816563140E-01 -6.837019700E-02 1.788197000E-02 5.872541200E-02 8.145885300E-02 9.247575900E-02
