T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.194036830E+00 1.198245018E+00 1.202403299E+00 1.210645532E+00 1.218067824E+00 1.221718319E+00 1.225725211E+00 1.236738967E+00 1.254903300E+00
295 1.194099037E+00 1.199128487E+00 1.203898693E+00 1.211942882E+00 1.219897024E+00 1.223726339E+00 1.227959397E+00 1.238646279E+00 1.256355878E+00
300 1.193693088E+00 1.200514391E+00 1.205648577E+00 1.213854445E+00 1.222036032E+00 1.226205286E+00 1.230287007E+00 1.240647340E+00 1.258501958E+00
305 1.191028901E+00 1.201559247E+00 1.207631135E+00 1.216004151E+00 1.224006021E+00 1.228625550E+00 1.233274602E+00 1.243456713E+00 1.260750881E+00
310 1.182504296E+00 1.201557944E+00 1.209481859E+00 1.218173690E+00 1.226360646E+00 1.231463206E+00 1.236265168E+00 1.246376067E+00 1.263670090E+00
315 1.159486198E+00 1.198486026E+00 1.210444246E+00 1.219745671E+00 1.228615698E+00 1.233987429E+00 1.238755074E+00 1.248868717E+00 1.266628537E+00
320 1.105963828E+00 1.188744768E+00 1.210263478E+00 1.221263809E+00 1.230015220E+00 1.235939366E+00 1.241268888E+00 1.251543454E+00 1.268815475E+00
325 1.013150945E+00 1.163478352E+00 1.206795923E+00 1.221829197E+00 1.231369815E+00 1.237566701E+00 1.243284624E+00 1.253659397E+00 1.270991966E+00
330 1.013896806E+00 1.108130469E+00 1.196056687E+00 1.220342991E+00 1.231776639E+00 1.238686418E+00 1.244192423E+00 1.254695254E+00 1.272244643E+00
335 1.016598358E+00 1.010001491E+00 1.170914544E+00 1.215997945E+00 1.230662566E+00 1.238360046E+00 1.244715026E+00 1.255185823E+00 1.271921430E+00
340 1.021939483E+00 1.010574872E+00 1.118310022E+00 1.204788122E+00 1.228240047E+00 1.237507200E+00 1.244260800E+00 1.254629126E+00 1.271018357E+00
