T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.192252857E+00 1.196567039E+00 1.200958868E+00 1.209335536E+00 1.216732777E+00 1.220979590E+00 1.225669601E+00 1.236603811E+00 1.254827474E+00
295 1.192106518E+00 1.197529711E+00 1.202564136E+00 1.210519617E+00 1.218599904E+00 1.223241559E+00 1.227811666E+00 1.238440680E+00 1.256900600E+00
300 1.191667347E+00 1.198801286E+00 1.203975388E+00 1.212428706E+00 1.220809996E+00 1.225795406E+00 1.230116476E+00 1.240653992E+00 1.258606005E+00
305 1.188808822E+00 1.199809967E+00 1.206211570E+00 1.214590682E+00 1.222965147E+00 1.228211249E+00 1.233059649E+00 1.243525872E+00 1.260963262E+00
310 1.179763113E+00 1.199643084E+00 1.207770224E+00 1.216809628E+00 1.225300892E+00 1.230876004E+00 1.236042026E+00 1.246468123E+00 1.263646526E+00
315 1.155558105E+00 1.196282820E+00 1.208574663E+00 1.218319870E+00 1.227410819E+00 1.233385930E+00 1.238522052E+00 1.248988658E+00 1.266483311E+00
320 1.100118756E+00 1.185835836E+00 1.208069165E+00 1.219627619E+00 1.228807655E+00 1.235123021E+00 1.241033934E+00 1.251533993E+00 1.268625336E+00
325 1.012174571E+00 1.159519734E+00 1.204154889E+00 1.219892439E+00 1.229852097E+00 1.236650400E+00 1.242842264E+00 1.253434590E+00 1.270563393E+00
330 1.012971453E+00 1.102548975E+00 1.192835632E+00 1.218040256E+00 1.230087542E+00 1.237344351E+00 1.243465316E+00 1.254177383E+00 1.271994665E+00
335 1.015631425E+00 1.009297745E+00 1.166802551E+00 1.213161235E+00 1.228556485E+00 1.236662966E+00 1.243709566E+00 1.254655487E+00 1.271640872E+00
340 1.020809883E+00 1.009892510E+00 1.113068550E+00 1.201257550E+00 1.225591526E+00 1.235121173E+00 1.242972432E+00 1.254011557E+00 1.270718435E+00
