N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.196526424E+00 1.196459150E+00 1.195976422E+00 1.193484225E+00 1.185612138E+00 1.164091223E+00 1.113734930E+00 1.016571729E+00 1.015061418E+00 1.017756293E+00 1.023215412E+00
1.600000000E+01 1.219327933E+00 1.220948240E+00 1.223109384E+00 1.225029136E+00 1.227570354E+00 1.229958056E+00 1.231778670E+00 1.233474296E+00 1.234521346E+00 1.233970880E+00 1.232223640E+00
1.700000000E+01 1.254479095E+00 1.256027493E+00 1.258405898E+00 1.261040467E+00 1.264006581E+00 1.266889451E+00 1.269098678E+00 1.271084308E+00 1.272428837E+00 1.272218708E+00 1.271374699E+00
1.549996187E+01 1.204807788E+00 1.206055558E+00 1.207489333E+00 1.209388135E+00 1.211285622E+00 1.212434809E+00 1.212554755E+00 1.209629033E+00 1.199768464E+00 1.176032996E+00 1.125486843E+00
1.649996187E+01 1.226115246E+00 1.228225917E+00 1.230548815E+00 1.233499562E+00 1.236620310E+00 1.239280400E+00 1.242278556E+00 1.244539708E+00 1.245585296E+00 1.246391193E+00 1.246288138E+00
1.674996808E+01 1.236856001E+00 1.238582911E+00 1.240674937E+00 1.243583047E+00 1.246823693E+00 1.249415219E+00 1.252300946E+00 1.254450826E+00 1.255372472E+00 1.256060657E+00 1.255673699E+00
1.624993176E+01 1.222296781E+00 1.224416415E+00 1.226922953E+00 1.229399254E+00 1.232225250E+00 1.235038396E+00 1.237200094E+00 1.239282232E+00 1.240746514E+00 1.240828192E+00 1.240489281E+00
1.574996808E+01 1.212788739E+00 1.213704928E+00 1.215496933E+00 1.217625685E+00 1.219688326E+00 1.221497979E+00 1.222941315E+00 1.224240842E+00 1.223282970E+00 1.219341236E+00 1.208989976E+00
1.524993176E+01 1.200629520E+00 1.201328295E+00 1.202549485E+00 1.203636536E+00 1.203786162E+00 1.201146556E+00 1.192210930E+00 1.168458167E+00 1.115754875E+00 1.018025926E+00 1.011441253E+00
