N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 -1.145007540E-01 -1.315499150E-01 -1.477751890E-01 -1.625443260E-01
1.016672606E+01 -1.140001740E-01 -1.307504760E-01 -1.465997970E-01 -1.609165010E-01
1.033324570E+01 -1.132708380E-01 -1.295891030E-01 -1.448977490E-01 -1.585678290E-01
1.049996187E+01 -1.122118600E-01 -1.279099150E-01 -1.424486230E-01 -1.552059700E-01
1.066670514E+01 -1.106819930E-01 -1.254990430E-01 -1.389566820E-01 -1.504495030E-01
1.083333839E+01 -1.084880590E-01 -1.220727720E-01 -1.340441670E-01 -1.438326610E-01
1.100000000E+01 -1.053752490E-01 -1.172750030E-01 -1.272659320E-01 -1.348498350E-01
1.116672606E+01 -1.010267630E-01 -1.106988820E-01 -1.181704660E-01 -1.230732040E-01
1.133324570E+01 -9.508621100E-02 -1.019565500E-01 -1.064385030E-01 -1.083717690E-01
1.149996187E+01 -8.722464100E-02 -9.082379200E-02 -9.211288900E-02 -9.120322900E-02
1.166670514E+01 -7.727371500E-02 -7.745941800E-02 -7.585712100E-02 -7.281555700E-02
1.183333839E+01 -6.541949900E-02 -6.261751800E-02 -5.904663600E-02 -5.507220800E-02
1.200000000E+01 -5.237575800E-02 -4.765428300E-02 -4.344576100E-02 -3.977306700E-02
1.216672606E+01 -3.936095700E-02 -3.414148000E-02 -3.049697100E-02 -2.786759500E-02
1.233324570E+01 -2.773405000E-02 -2.321189200E-02 -2.072560300E-02 -1.922621100E-02
1.249996187E+01 -1.843027300E-02 -1.513497600E-02 -1.362903400E-02 -1.308681700E-02
1.266670514E+01 -1.025857600E-02 -9.465059000E-03 -8.722598000E-03 -8.650584000E-03
1.283333839E+01 -5.556861000E-03 -5.527466000E-03 -5.205335000E-03 -5.361548000E-03
1.300000000E+01 -2.371046000E-03 -2.766709000E-03 -2.648416000E-03 -2.905135000E-03
