T d154 d184 d214 d244
d 150 180 210 240
290 1.301072240E+00 1.296309394E+00 1.294296361E+00 1.292498803E+00
295 1.300819688E+00 1.296059490E+00 1.294352332E+00 1.292736890E+00
300 1.301612499E+00 1.296961272E+00 1.295443514E+00 1.294049549E+00
305 1.303314336E+00 1.298885227E+00 1.297476238E+00 1.296288979E+00
310 1.305753912E+00 1.301777946E+00 1.300214741E+00 1.299205757E+00
315 1.308879785E+00 1.305036529E+00 1.303508668E+00 1.302268423E+00
320 1.312441401E+00 1.308876628E+00 1.307121705E+00 1.305784374E+00
325 1.316104134E+00 1.312459447E+00 1.310665974E+00 1.309102399E+00
330 1.319481958E+00 1.315789189E+00 1.314038916E+00 1.312087568E+00
335 1.322512293E+00 1.318463510E+00 1.316482723E+00 1.314354572E+00
340 1.324582909E+00 1.320035980E+00 1.317664253E+00 1.315232497E+00
