T d154 d184 d214 d244
d 150 180 210 240
290 1.299990839E+00 1.294908040E+00 1.292586301E+00 1.290495329E+00
295 1.299839180E+00 1.294794696E+00 1.292812263E+00 1.290935235E+00
300 1.300730262E+00 1.295825859E+00 1.294059942E+00 1.292429235E+00
305 1.302521073E+00 1.297862794E+00 1.296224347E+00 1.294816829E+00
310 1.305033670E+00 1.300842373E+00 1.299059573E+00 1.297835239E+00
315 1.308211249E+00 1.304155427E+00 1.302406523E+00 1.300944543E+00
320 1.311797993E+00 1.308010899E+00 1.306021002E+00 1.304442467E+00
325 1.315455442E+00 1.311565538E+00 1.309507956E+00 1.307670809E+00
330 1.318791124E+00 1.314814788E+00 1.312754281E+00 1.310481827E+00
335 1.321733687E+00 1.317344225E+00 1.314988837E+00 1.312472273E+00
340 1.323656545E+00 1.318688241E+00 1.315854280E+00 1.312945446E+00
