name time T kT_1 I
01RV 01rv.dat 340 34.1 3.466E-006
02RV 02rv.dat 340 34.1 3.420E-006
03RV 03rv.dat 340 34.1 3.578E-006
04RV 04rv.dat 340 34.1 3.721E-006
05RV 05rv.dat 340 34.1 3.921E-006
06RV 06rv.dat 340 34.1 3.989E-006
07RV 07rv.dat 340 34.1 4.060E-006
08RV 08rv.dat 340 34.1 4.031E-006
09RV 09rv.dat 340 34.1 3.993E-006
10RV 10rv.dat 340 34.1 3.982E-006
11RV 11rv.dat 340 34.1 4.106E-006
12RV 12rv.dat 340 34.1 4.151E-006
13RV 13rv.dat 340 34.1 4.296E-006
14RV 14rv.dat 340 34.1 5.082E-006
15RV 15rv.dat 340 34.1 5.206E-006
16RV 16rv.dat 340 34.1 5.787E-006
17RV 17rv.dat 340 34.1 5.614E-006
18RV 18rv.dat 340.1 34.09 5.874E-006
19RV 19rv.dat 340 34.1 5.897E-006
20RV 20rv.dat 340 34.1 5.662E-006
21RV 21rv.dat 340 34.1 5.109E-006
22RV 22rv.dat 340 34.1 4.917E-006
23RV 23rv.dat 340 34.1 5.143E-006
24RV 24rv.dat 340 34.1 5.021E-006
25RV 25rv.dat 340.1 34.09 5.233E-006
26RV 26rv.dat 340 34.1 5.546E-006
27RV 27rv.dat 340 34.1 5.616E-006
28RV 28rv.dat 340 34.1 4.939E-006
29RV 29rv.dat 340 34.1 5.290E-006
30RV 30rv.dat 340 34.1 5.496E-006
31RV 31rv.dat 340 34.1 5.483E-006
32RV 32rv.dat 340 34.1 5.224E-006
33RV 33rv.dat 340.1 34.09 5.292E-006
34RV 34rv.dat 339.9 34.11 5.220E-006
35RV 35rv.dat 340.1 34.09 5.049E-006
36RV 36rv.dat 340.1 34.09 5.081E-006
37RV 37rv.dat 339.8 34.12 4.654E-006
38RV 38rv.dat 340.1 34.09 4.396E-006
39RV 39rv.dat 339.9 34.11 4.128E-006
40RV 40rv.dat 340.1 34.09 4.243E-006
41RV 41rv.dat 340.1 34.09 4.102E-006
42RV 42rv.dat 340 34.1 3.959E-006
43RV 43rv.dat 340 34.1 3.813E-006
44RV 44rv.dat 340 34.1 4.040E-006
45RV 45rv.dat 340 34.1 3.910E-006
46RV 46rv.dat 340 34.1 3.801E-006
47RV 47rv.dat 340 34.1 3.759E-006
48RV 48rv.dat 340.1 34.09 3.949E-006
49RV 49rv.dat 340.1 34.09 3.965E-006
50RV 50rv.dat 340.1 34.09 3.822E-006
51RV 51rv.dat 340 34.1 3.877E-006
52RV 52rv.dat 340 34.1 3.854E-006
53RV 53rv.dat 340.1 34.09 3.803E-006
54RV 54rv.dat 340 34.1 3.955E-006
55RV 55rv.dat 339.8 34.12 3.672E-006
56RV 56rv.dat 340 34.1 3.662E-006
57RV 57rv.dat 340 34.1 3.689E-006
