N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+16 305 2.100E-4 1.239209482E+00 1.249054355E+00
1.468000E+10 1.000E+16 305 2.100E-4 1.242007818E+00 1.249124629E+00
2.154000E+10 1.000E+16 305 2.100E-4 1.244136101E+00 1.249226928E+00
3.162000E+10 1.000E+16 305 2.100E-4 1.245767879E+00 1.249375340E+00
4.642000E+10 1.000E+16 305 2.100E-4 1.247052033E+00 1.249589565E+00
6.813000E+10 1.000E+16 305 2.100E-4 1.248120194E+00 1.249896571E+00
1.000000E+11 1.000E+16 305 2.100E-4 1.249090986E+00 1.250332165E+00
1.468000E+11 1.000E+16 305 2.100E-4 1.250073559E+00 1.250941952E+00
2.154000E+11 1.000E+16 305 2.100E-4 1.251169998E+00 1.251780650E+00
3.162000E+11 1.000E+16 305 2.100E-4 1.252475494E+00 1.252909030E+00
4.642000E+11 1.000E+16 305 2.100E-4 1.254075430E+00 1.254387850E+00
6.813000E+11 1.000E+16 305 2.100E-4 1.256039894E+00 1.256269780E+00
1.000000E+12 1.000E+16 305 2.100E-4 1.258417519E+00 1.258591219E+00
1.468000E+12 1.000E+16 305 2.100E-4 1.261230797E+00 1.261366057E+00
2.154000E+12 1.000E+16 305 2.100E-4 1.264474618E+00 1.264583177E+00
3.162000E+12 1.000E+16 305 2.100E-4 1.268120126E+00 1.268209576E+00
4.642000E+12 1.000E+16 305 2.100E-4 1.272125199E+00 1.272200375E+00
6.813000E+12 1.000E+16 305 2.100E-4 1.276448153E+00 1.276512122E+00
1.000000E+13 1.000E+16 305 2.100E-4 1.281056673E+00 1.281111438E+00
