T nFsrh nFBsrh dnsrh nF nFB dn
290 1.184989113E+00 1.185752716E+0 -7.636030000E-04 1.184989113E+00 1.185752716E+0 -7.636030000E-04
295 1.186360292E+00 1.189375047E+0 -3.014755000E-03 1.186360292E+00 1.189375047E+0 -3.014755000E-03
300 1.194138714E+00 1.193004220E+0 1.134494000E-03 1.194138714E+00 1.193004220E+0 1.134494000E-03
305 1.192249205E+00 1.196638344E+0 -4.389139000E-03 1.192249205E+00 1.196638344E+0 -4.389139000E-03
310 1.199711168E+00 1.200273030E+0 -5.618620000E-04 1.199711168E+00 1.200273030E+0 -5.618620000E-04
315 1.201587709E+00 1.203898140E+0 -2.310431000E-03 1.201587709E+00 1.203898140E+0 -2.310431000E-03
320 1.204482246E+00 1.207490719E+0 -3.008473000E-03 1.204482246E+00 1.207490719E+0 -3.008473000E-03
325 1.210480524E+00 1.211000033E+0 -5.195090000E-04 1.210480524E+00 1.211000033E+0 -5.195090000E-04
330 1.215587596E+00 1.214316884E+0 1.270712000E-03 1.215587596E+00 1.214316884E+0 1.270712000E-03
335 1.219514593E+00 1.217213127E+0 2.301466000E-03 1.219514593E+00 1.217213127E+0 2.301466000E-03
340 1.221963159E+00 1.219228910E+0 2.734249000E-03 1.221963159E+00 1.219228910E+0 2.734249000E-03
