fname V Rs Rt Qt nt Rr Qr nr rmsre
d84bm1V2T213 -1.2 1.0000000E-7 4.5664125E+4 1.0744331E-9 9.1306269E-1 1.3382674E+6 3.7107171E-10 9.7188080E-1 5.8818445E-2
d84bm1V2T245 -1.2 3.6853162E+1 1.3271675E+4 9.0911827E-10 9.5286838E-1 5.0598970E+5 2.1740418E-10 1.0000000E+0 6.4238130E-2
d84bm1V2T271 -1.2 3.7657003E+1 6.3376767E+3 5.9759383E-10 1.0000000E+0 2.3604986E+5 3.0610373E-10 9.6345083E-1 4.1552713E-2
d84bm1V2T292 -1.2 2.9535221E+1 5.0381025E+3 6.6037839E-10 1.0000000E+0 1.3255295E+5 2.4117712E-10 9.6528654E-1 2.7809429E-2
d84bm1VT214 -1 1.0000000E-7 4.3017474E+4 1.1211973E-9 9.1117744E-1 1.2711102E+6 3.4870024E-10 9.8578716E-1 5.9779569E-2
d84bm1VT245 -1 3.6506726E+1 1.2697106E+4 9.7084853E-10 9.5030052E-1 5.2200454E+5 2.3537326E-10 9.9984437E-1 6.2626973E-2
d84bm1VT271 -1 3.7510253E+1 5.7656419E+3 6.2247903E-10 1.0000000E+0 2.4440775E+5 3.3689570E-10 9.6335465E-1 4.2792587E-2
d84bm1VT292 -1 2.8592547E+1 4.5429475E+3 6.9285285E-10 1.0000000E+0 1.3710684E+5 2.6163547E-10 9.6803417E-1 2.3969988E-2
d84bm0V8T213 -0.8 1.0000001E-7 4.2189562E+4 1.1904100E-9 9.0826158E-1 1.3726538E+6 3.8700120E-10 9.8485942E-1 7.2563559E-2
d84bm0V8T245 -0.8 4.0447912E+1 1.1321874E+4 9.4233450E-10 9.5443278E-1 5.5221172E+5 2.7353239E-10 1.0000000E+0 6.4845446E-2
d84bm0V8T271 -0.8 3.7668769E+1 5.2510412E+3 6.5217781E-10 1.0000000E+0 2.5590954E+5 3.9025996E-10 9.6085774E-1 4.2855840E-2
d84bm0V8T292 -0.8 2.8654353E+1 4.0910501E+3 7.3153655E-10 1.0000000E+0 1.4377422E+5 2.9032910E-10 9.6881041E-1 2.3945810E-2
d84bm0V6T214 -0.6 1.0000000E-7 4.0155265E+4 1.2551858E-9 9.0558733E-1 1.7017328E+6 3.9616001E-10 9.9408884E-1 6.5238307E-2
d84bm0V6T245 -0.6 3.8708757E+1 1.0698302E+4 1.0551558E-9 9.4936201E-1 6.2050800E+5 3.0027212E-10 1.0000000E+0 6.7948018E-2
d84bm0V6T271 -0.6 3.8191361E+1 4.8546573E+3 6.8809376E-10 1.0000000E+0 2.7436812E+5 4.2899131E-10 9.6315416E-1 4.5599347E-2
d84bm0V6T292 -0.6 2.9704136E+1 3.7802831E+3 7.8075737E-10 1.0000000E+0 1.5115262E+5 3.1033588E-10 9.7300634E-1 2.5420458E-2
d84bm0V4T213 -0.4 1.0000000E-7 3.8321167E+4 1.3414787E-9 9.0269106E-1 2.1536999E+6 4.6290903E-10 9.9066544E-1 6.5607962E-2
d84bm0V4T245 -0.4 4.2074415E+1 9.8085336E+3 1.0837835E-9 9.5082078E-1 6.8376292E+5 3.5317740E-10 1.0000000E+0 7.0979294E-2
d84bm0V4T270 -0.4 3.8620795E+1 4.4035393E+3 7.3017615E-10 1.0000000E+0 2.8824348E+5 4.6440257E-10 9.6861364E-1 4.7072045E-2
d84bm0V4T292 -0.4 3.1422981E+1 3.5303103E+3 8.4489644E-10 1.0000000E+0 1.5545948E+5 3.4918457E-10 9.7409595E-1 2.8603194E-2
d84bm0V2T213 -0.2 1.0000000E-7 3.2794463E+4 1.3932032E-9 9.0181163E-1 6.5411413E+6 7.4099184E-10 9.5860832E-1 7.9234114E-2
d84bm0V2T245 -0.2 4.2108006E+1 8.8952766E+3 1.1888027E-9 9.4792230E-1 9.8623437E+5 4.1250051E-10 1.0000000E+0 7.2180910E-2
