N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.016594344E+00 1.015115351E+00 1.014025644E+00 1.013173894E+00
1.600000000E+01 1.234949436E+00 1.230004848E+00 1.225545479E+00 1.222028374E+00
1.700000000E+01 1.252201546E+00 1.249073400E+00 1.246827288E+00 1.245216370E+00
1.549996187E+01 1.200920354E+00 1.193912760E+00 1.187910986E+00 1.182260433E+00
1.649996187E+01 1.238648522E+00 1.233583117E+00 1.229296470E+00 1.225970542E+00
1.674996808E+01 1.241917608E+00 1.237494754E+00 1.233997722E+00 1.231298866E+00
1.624993176E+01 1.238553219E+00 1.233432087E+00 1.229027257E+00 1.225342396E+00
1.574996808E+01 1.224764589E+00 1.219779773E+00 1.215429474E+00 1.211585488E+00
1.524993176E+01 1.113521911E+00 1.097270229E+00 1.082670428E+00 1.069739975E+00
