N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.025668381E+00 1.024584774E+00 1.023730043E+00 1.023014432E+00
1.600000000E+01 1.233028267E+00 1.226234551E+00 1.220008485E+00 1.215009808E+00
1.700000000E+01 1.245570735E+00 1.240989300E+00 1.237673348E+00 1.235377818E+00
1.549996187E+01 1.121431432E+00 1.104083354E+00 1.089437620E+00 1.076652979E+00
1.649996187E+01 1.238612415E+00 1.231884898E+00 1.226169946E+00 1.221520658E+00
1.674996808E+01 1.239726533E+00 1.233592307E+00 1.228740277E+00 1.225080295E+00
1.624993176E+01 1.238358141E+00 1.231556630E+00 1.225632432E+00 1.220295988E+00
1.574996808E+01 1.213391639E+00 1.201319786E+00 1.194345999E+00 1.187971730E+00
1.524993176E+01 1.012580422E+00 1.011477011E+00 1.010664253E+00 1.010029211E+00
