T d154 d184 d214 d244
d 150 180 210 240
290 6.500552300E-02 6.348225700E-02 6.413642100E-02 6.440466300E-02
295 6.327276700E-02 6.176505600E-02 6.232127600E-02 6.269936500E-02
300 6.178359400E-02 6.033503700E-02 6.096282700E-02 6.121203400E-02
305 6.000398300E-02 5.853469500E-02 5.915266100E-02 5.939534600E-02
310 5.834051700E-02 5.693578100E-02 5.753961300E-02 5.781562600E-02
315 5.738129400E-02 5.598643500E-02 5.662470300E-02 5.658363200E-02
320 5.639544200E-02 5.508961700E-02 5.565680900E-02 5.564641500E-02
325 5.584096200E-02 5.455623900E-02 5.512601700E-02 5.515466200E-02
330 5.594249700E-02 5.478011600E-02 5.536624700E-02 5.543152500E-02
335 5.612927600E-02 5.489624100E-02 5.559782600E-02 5.565879200E-02
340 5.656453800E-02 5.536233100E-02 5.606163300E-02 5.613133700E-02
