T file kT1 TDD TDD1 TDD11 TDD111 TDD1111 TDD11111 TDD111111 TDD1111111 d N_B
340 001_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 1.500E-4 1.000E+17
340 002_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 1.500E-4 1.000E+17
340 003_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 1.500E-4 1.000E+17
340 004_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 1.500E-4 1.000E+17
340 005_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 1.500E-4 1.000E+17
340 006_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 1.500E-4 1.000E+17
340 007_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 1.500E-4 1.000E+17
340 008_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 1.500E-4 1.000E+17
340 009_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 1.500E-4 1.000E+17
340 010_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 1.500E-4 1.000E+17
340 011_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 1.500E-4 1.000E+17
340 012_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 1.500E-4 1.000E+17
340 013_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 1.500E-4 1.000E+17
340 014_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 1.500E-4 1.000E+17
340 015_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 1.500E-4 1.000E+17
340 016_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 1.500E-4 1.000E+17
340 017_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 1.500E-4 1.000E+17
340 018_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 1.500E-4 1.000E+17
340 019_340 34.101 0.000000E+0 0.000000E+0 0.000000E+0 0.000000E+0 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 1.500E-4 1.000E+17
