fname time Tem kT_1 Nfe tau_r Wph Em rmsre 
L0210 1380673162 0 555 3.034256931E+19 1.000000000E+02 3.734255697E-04 6.796037788E-01 1.541175582E-03 
L0210 1380673162 0 555 3.034256931E+19 1.000000000E+02 3.734255697E-04 6.796037788E-01 1.541175582E-03 
L0210U4 1380673193 0 555 2.773530021E+19 1.000000000E+02 3.614550278E-04 6.683308713E-01 1.796742220E-03 
L0210U4 1380673193 0 555 2.773530021E+19 1.000000000E+02 3.614550278E-04 6.683308713E-01 1.796742220E-03 
L0211 1380673093 0 555 3.275603322E+19 1.000000000E+02 3.716925693E-04 6.790951393E-01 1.599201049E-03 
L0211 1380673093 0 555 3.275603322E+19 1.000000000E+02 3.716925693E-04 6.790951393E-01 1.599201049E-03 
L0211U13 1380678350 0 555 3.456464233E+19 1.000000000E+02 2.703005991E-04 6.787509053E-01 2.620951660E-03 
L0211U13 1380678350 0 555 3.456464233E+19 1.000000000E+02 2.703005991E-04 6.787509053E-01 2.620951660E-03 
L0212U4 1380732123 0 555 4.108424351E+19 1.000000000E+02 4.131868870E-04 6.744663656E-01 1.640931928E-03 
L0212U4 1380732123 0 555 4.108424351E+19 1.000000000E+02 4.131868870E-04 6.744663656E-01 1.640931928E-03 
