p d Ytrue Ypred
40 10 2 1.980283 
50 40 0.8 0.800851 
70 20 2.8 2.815902 
60 40 2.8 2.807471 
40 35 3 3.006589 
60 10 1.1 1.106704 
70 30 2 1.999283 
70 35 2.5 2.496161 
40 15 4.5 4.516871 
40 15 3.6 3.544807 
60 5 0.3 0.2292314 
70 45 4.6 4.599561 
60 20 2.9 2.91995 
60 10 2.7 2.624669 
60 40 3.2 3.199826 
50 25 4.1 4.099277 
40 30 3.2 3.201009 
40 35 1.4 1.404299 
60 10 0.1 0.1109391 
50 50 0.7 0.7085078 
70 15 1.8 1.799934 
60 5 4.1 4.097059 
70 10 0.1 0.1776291 
40 30 0.9 0.8748173 
50 40 1.5 1.495005 
50 5 4.3 4.200255 
70 50 1.2 1.184524 
40 35 3.1 3.109044 
40 10 3.3 3.274904 
50 45 0.9 0.9077169 
60 30 2.9 2.884848 
50 25 4.9 4.898312 
60 25 2.5 2.480587 
70 25 4.1 4.111371 
70 50 1.9 1.895873 
40 15 4.6 4.625279 
40 5 3.3 3.455399 
50 20 2 1.979971 
40 40 0.4 0.459455 
60 50 4.5 4.513027 
40 50 2.1 2.119743 
50 5 2.3 2.395813 
40 5 1.9 1.875727 
40 40 1.8 1.82437 
40 20 1.8 1.779434 
60 20 2.7 2.709596 
60 30 2.2 2.203126 
50 35 1 1.006271 
40 40 4.8 4.818673 
40 35 4.7 4.731296 
50 35 3.3 3.31243 
60 25 4.9 4.897943 
70 40 0.3 0.2819298 
50 35 2.1 2.132568 
40 40 4.5 4.521587 
70 35 2.6 2.592923 
40 5 0.6 0.6406968 
70 15 3.9 3.862821 
70 35 0.4 0.3131088 
70 45 0.3 0.2805814 
60 5 4.5 4.346771 
60 45 4.5 4.510083 
40 45 0.7 0.7531644 
40 30 3.9 3.911222 
60 40 1.5 1.493909 
70 50 3.1 3.137712 
40 15 2 2.000195 
50 20 2.2 2.180218 
40 50 1.5 1.469065 
70 35 0.9 0.9593368 
70 50 1 0.8858588 
50 30 1.2 1.186321 
60 20 0.8 0.7767342 
70 10 2.9 2.82264 
40 35 3.2 3.212139 
40 50 1.4 1.37059 
60 45 4.9 4.902706 
70 20 4.4 4.385384 
50 50 0.6 0.5181404 
60 25 0.3 0.2365877 
40 15 1.8 1.785939 
60 20 3.4 3.420936 
40 40 3.7 3.714052 
50 45 0.5 0.5124795 
70 20 3.5 3.527032 
70 50 3.4 3.432614 
60 5 1.6 1.450647 
70 45 1.1 1.114032 
40 10 1.4 1.433454 
40 10 2.3 2.227369 
60 35 2 2.023424 
50 30 2.7 2.690044 
