p d Ytrue Ypred
40 10 4.4 4.41484 
40 20 2.5 2.482777 
50 40 2.6 2.617956 
60 30 4.3 4.30941 
70 10 3.6 3.549139 
40 30 1.4 1.414095 
40 35 3.8 3.830388 
60 40 1.6 1.59773 
60 35 5 5.020806 
70 45 2.1 2.106771 
50 35 3.9 3.927848 
40 10 4.6 4.594135 
60 35 4.7 4.720763 
40 20 0.1 0.05455971 
50 5 3.4 3.560532 
40 40 5 5.017847 
70 45 1.6 1.597628 
50 30 2.5 2.493676 
70 10 2.2 2.204902 
50 40 1.7 1.712765 
60 10 3.2 3.138996 
40 5 2.3 2.41269 
50 15 0.4 0.4252792 
70 50 1.4 1.413843 
70 35 0.5 0.4134233 
70 30 0.2 0.2150611 
60 30 0.2 0.2318978 
50 50 1.8 1.791138 
40 40 2 2.031396 
50 50 4.6 4.603049 
60 20 1.8 1.792658 
50 25 4.8 4.795054 
60 40 1.7 1.703528 
40 10 0.7 0.7077223 
60 45 0.6 0.5550443 
60 50 1.1 1.086181 
60 20 0.3 0.2973122 
40 30 2.8 2.789885 
60 5 4.2 4.16285 
40 10 2.4 2.317112 
40 15 3.4 3.342375 
40 25 3.3 3.29766 
50 30 0.8 0.8187759 
70 35 0.2 0.2248202 
60 25 2.6 2.581373 
70 45 1.4 1.419278 
60 40 4.5 4.50949 
60 45 0.4 0.4186097 
40 30 0.3 0.276968 
70 10 3.8 3.76077 
50 50 0.9 0.9058515 
70 30 3 2.975735 
50 50 3.1 3.123082 
60 50 0.6 0.5675129 
70 50 4.8 4.805571 
70 5 0.4 0.3249629 
40 30 1.9 1.924874 
70 40 4.2 4.195724 
40 15 3.9 3.862035 
50 35 4.4 4.429652 
70 40 1 1.038286 
70 25 1.3 1.290681 
50 40 4 4.01798 
70 20 2.1 2.083486 
70 30 2.9 2.874445 
50 40 5 5.013094 
50 15 3.4 3.363573 
60 5 2.6 2.745065 
70 50 3.8 3.825746 
50 30 3.5 3.508247 
70 15 5 5.001569 
70 10 4.1 4.071692 
70 45 2 2.00214 
70 5 1.2 1.096275 
60 35 4.1 4.120518 
60 50 5 4.998048 
40 20 1 0.9979532 
70 50 1.1 1.03747 
40 45 2 2.024284 
50 20 3 3.014272 
40 5 4 3.965261 
70 30 0.4 0.3134583 
50 5 3.9 3.94282 
50 45 4.6 4.612308 
60 35 2.7 2.702856 
60 35 0.1 0.08561087 
70 40 1.6 1.591215 
60 20 0.1 0.120562 
50 50 2.4 2.436599 
60 40 1.8 1.809697 
70 45 3.1 3.109079 
60 50 2.9 2.941307 
70 30 1.1 1.095974 
40 10 2.8 2.719058 
60 5 3.9 3.95816 
40 50 1 1.044842 
40 15 0.7 0.6820223 
40 25 1.8 1.811221 
50 5 0.4 0.3725564 
60 45 2.2 2.22631 
40 20 2.3 2.273266 
50 25 2.4 2.381831 
50 30 0.9 0.8973112 
60 40 4.3 4.310233 
60 20 3.6 3.612079 
60 30 2.5 2.489212 
60 10 0.7 0.6800189 
50 5 4.4 4.258991 
50 10 4.2 4.227751 
70 30 2.7 2.674922 
40 35 1 0.9817026 
70 10 3.4 3.336635 
50 35 4.7 4.728226 
60 40 2.9 2.90457 
50 15 2.2 2.226885 
60 15 0.5 0.5143942 
50 15 4.6 4.625489 
40 45 3.7 3.70145 
70 40 0.4 0.3170003 
60 10 3.8 3.789882 
40 45 1.4 1.371506 
40 20 1.3 1.32182 
40 30 0.7 0.7091951 
50 25 2.8 2.788473 
50 15 0.7 0.6789597 
40 15 4.2 4.188825 
60 20 2.2 2.183947 
70 35 0.7 0.6839145 
40 20 3.6 3.570167 
50 30 1.7 1.725665 
60 30 1.2 1.184308 
60 40 4.8 4.806352 
40 15 0.9 0.9116067 
70 5 3.5 3.645937 
60 5 0.2 0.27803 
40 15 3 2.963414 
50 40 4.7 4.716201 
40 50 4.1 4.09034 
70 30 3.7 3.696937 
60 15 3.1 3.103555 
60 25 3.9 3.911712 
50 50 1.2 1.20523 
50 50 1.5 1.475515 
70 15 4.9 4.897026 
50 45 1.8 1.807721 
70 10 4.7 4.653217 
40 40 4.7 4.719596 
60 10 1.3 1.322144 
60 20 1.2 1.205002 
40 35 1.9 1.937549 
40 25 2.5 2.476285 
50 50 4.9 4.894928 
50 40 4.8 4.814965 
50 15 1 1.009432 
40 25 2.8 2.783935 
50 40 2 2.030278 
60 10 1.9 1.938088 
60 25 2 1.998724 
70 10 0.8 0.7796854 
40 5 4.2 4.087024 
70 5 1.5 1.354048 
40 15 3.8 3.754737 
40 35 4.9 4.932716 
40 35 3.6 3.625659 
50 10 2.7 2.620791 
40 35 1.3 1.29187 
70 5 1.8 1.708836 
60 25 4.6 4.596661 
50 15 4.3 4.298957 
50 40 0.6 0.6236098 
60 30 2 2.01222 
40 50 2.5 2.524108 
40 10 4.8 4.764338 
60 30 4.2 4.210067 
60 50 1.9 1.897398 
60 10 3.5 3.465424 
50 30 3.3 3.302594 
50 10 1 1.009051 
60 10 0.4 0.4333767 
40 20 4.3 4.262873 
60 15 0.1 0.09188414 
70 10 4.3 4.272315 
60 25 1.6 1.614287 
70 10 1.7 1.752157 
70 20 4.2 4.191564 
70 45 2.5 2.517241 
50 45 2.2 2.232763 
40 10 0.3 0.3292506 
40 10 4.9 4.846071 
40 15 2.2 2.211681 
70 25 0.2 0.2095981 
40 5 0.5 0.5332421 
70 30 1.2 1.185204 
60 40 0.2 0.2428725 
50 30 0.3 0.2543975 
60 35 2.8 2.800556 
60 10 4.2 4.205495 
40 15 0.3 0.2526106 
60 35 3.5 3.507787 
40 20 4.6 4.580656 
40 30 1.7 1.730852 
40 10 2.9 2.827772 
70 20 4.8 4.786918 
40 45 1.1 1.096331 
50 10 0.1 0.05409122 
70 10 1 0.9936893 
60 45 3.9 3.911374 
50 25 2.1 2.093226 
50 50 1.1 1.114383 
60 20 3.1 3.125057 
60 15 2.1 2.124029 
60 15 2.8 2.831897 
40 5 0.8 0.8188264 
50 35 2.9 2.906014 
40 5 4.9 4.450412 
70 50 3.6 3.628999 
60 35 4 4.01929 
40 25 1.3 1.31677 
60 35 3.9 3.917627 
70 35 3.9 3.903579 
70 40 5 4.992818 
70 30 3.8 3.799527 
50 15 3 2.993112 
50 20 3.5 3.500754 
50 30 3.1 3.096374 
60 15 0.3 0.2999064 
50 20 1.6 1.605003 
60 40 4 4.008442 
60 20 2 1.984137 
50 10 1.2 1.218453 
60 10 0.8 0.789716 
50 40 4.1 4.119003 
70 40 1.8 1.794334 
40 5 1 0.9332287 
50 10 0.4 0.4135885 
40 25 0.9 0.865344 
60 5 4.6 4.403924 
60 15 4.3 4.28576 
70 50 4.9 4.90228 
60 50 2.7 2.743113 
40 45 1 1.017291 
40 10 3.1 3.050158 
40 20 2.8 2.794465 
50 35 4 4.029098 
60 45 3.3 3.312653 
70 45 1.7 1.694003 
50 5 3.6 3.722469 
50 35 2.7 2.708583 
40 40 1 0.9958844 
60 20 4.4 4.383936 
60 50 3.4 3.429632 
40 35 3.4 3.419159 
70 35 4.2 4.209 
50 45 4.7 4.710594 
70 40 2.6 2.599937 
70 20 4.1 4.096068 
60 5 2.2 2.242157 
50 5 2.7 2.878311 
70 25 3.8 3.814671 
50 10 2 2.006834 
70 15 4 3.962145 
70 30 0.7 0.7115287 
70 40 0.6 0.5031998 
50 35 1.4 1.40114 
60 30 0.9 0.9223075 
40 30 1 0.9704965 
60 45 4.3 4.311768 
60 45 4.1 4.112032 
60 10 4.7 4.684316 
40 15 4 3.970315 
70 30 1.7 1.698603 
70 40 4 3.993722 
40 50 4.3 4.291267 
50 35 1.5 1.510594 
50 40 4.5 4.518445 
60 50 0.9 0.8420004 
60 20 1.1 1.095791 
50 30 1.5 1.515297 
60 20 1.7 1.698902 
70 10 0.7 0.672051 
70 45 3.3 3.305608 
40 50 1.9 1.903992 
70 25 4.9 4.895414 
50 20 0.3 0.4168286 
50 40 2.7 2.713889 
70 25 3 2.989662 
60 35 0.2 0.2430066 
40 15 1.3 1.296878 
50 35 4.3 4.330008 
60 35 1.2 1.199629 
50 15 4.2 4.190356 
50 45 2.3 2.334072 
