N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+16 340 1.500E-4 1.242701565E+00 1.295136849E+00
1.468000E+10 3.162E+16 340 1.500E-4 1.257137752E+00 1.295242293E+00
2.154000E+10 3.162E+16 340 1.500E-4 1.268119170E+00 1.295395793E+00
3.162000E+10 3.162E+16 340 1.500E-4 1.276319036E+00 1.295618432E+00
4.642000E+10 3.162E+16 340 1.500E-4 1.282409675E+00 1.295939589E+00
6.813000E+10 3.162E+16 340 1.500E-4 1.286984271E+00 1.296399257E+00
1.000000E+11 3.162E+16 340 1.500E-4 1.290537651E+00 1.297049986E+00
1.468000E+11 3.162E+16 340 1.500E-4 1.293473881E+00 1.297956989E+00
2.154000E+11 3.162E+16 340 1.500E-4 1.296119535E+00 1.299194719E+00
3.162000E+11 3.162E+16 340 1.500E-4 1.298732250E+00 1.300836907E+00
4.642000E+11 3.162E+16 340 1.500E-4 1.301499443E+00 1.302939053E+00
6.813000E+11 3.162E+16 340 1.500E-4 1.304530256E+00 1.305516812E+00
1.000000E+12 3.162E+16 340 1.500E-4 1.307827909E+00 1.308507785E+00
1.468000E+12 3.162E+16 340 1.500E-4 1.311388619E+00 1.311861876E+00
2.154000E+12 3.162E+16 340 1.500E-4 1.315108081E+00 1.315442912E+00
3.162000E+12 3.162E+16 340 1.500E-4 1.319057266E+00 1.319306299E+00
4.642000E+12 3.162E+16 340 1.500E-4 1.322759611E+00 1.322957786E+00
6.813000E+12 3.162E+16 340 1.500E-4 1.326516097E+00 1.326682116E+00
1.000000E+13 3.162E+16 340 1.500E-4 1.329986737E+00 1.330176705E+00
