N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.219125476E+00 1.216009081E+00 1.214027719E+00 1.212660573E+00
1.016672606E+01 1.224449889E+00 1.221633195E+00 1.219987771E+00 1.218936645E+00
1.033324570E+01 1.228709794E+00 1.226180429E+00 1.224854992E+00 1.224119250E+00
1.049996187E+01 1.232267772E+00 1.230037356E+00 1.229029230E+00 1.228598610E+00
1.066670514E+01 1.235423254E+00 1.233513547E+00 1.232844751E+00 1.232671605E+00
1.083333839E+01 1.238419147E+00 1.236843547E+00 1.236397356E+00 1.236545550E+00
1.100000000E+01 1.241441755E+00 1.240189977E+00 1.240021270E+00 1.240342953E+00
1.116672606E+01 1.244621640E+00 1.243652453E+00 1.243714384E+00 1.244137359E+00
1.133324570E+01 1.248034227E+00 1.247284325E+00 1.247497653E+00 1.247988124E+00
1.149996187E+01 1.251712894E+00 1.251112903E+00 1.251403634E+00 1.251926939E+00
1.166670514E+01 1.255669897E+00 1.255157064E+00 1.255483315E+00 1.256026499E+00
1.183333839E+01 1.259906934E+00 1.259443040E+00 1.259774874E+00 1.260319106E+00
1.200000000E+01 1.264429702E+00 1.263984320E+00 1.264305924E+00 1.264857121E+00
1.216672606E+01 1.269248076E+00 1.268806124E+00 1.269123063E+00 1.269678865E+00
1.233324570E+01 1.274372085E+00 1.273928674E+00 1.274232906E+00 1.274813867E+00
1.249996187E+01 1.279805709E+00 1.279356457E+00 1.279691126E+00 1.280274245E+00
1.266670514E+01 1.285544619E+00 1.285113129E+00 1.285433271E+00 1.286026049E+00
1.283333839E+01 1.291585509E+00 1.291161986E+00 1.291499275E+00 1.292099831E+00
1.300000000E+01 1.297863069E+00 1.297471144E+00 1.297796055E+00 1.298403888E+00
