N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.194511757E+00 1.192072139E+00 1.189750684E+00 1.187599501E+00
1.016672606E+01 1.195538859E+00 1.192931698E+00 1.190497651E+00 1.188267134E+00
1.033324570E+01 1.196295167E+00 1.193561947E+00 1.191046094E+00 1.188760401E+00
1.049996187E+01 1.196848285E+00 1.194025990E+00 1.191455524E+00 1.189136158E+00
1.066670514E+01 1.197256741E+00 1.194376866E+00 1.191775402E+00 1.189441662E+00
1.083333839E+01 1.197569168E+00 1.194658609E+00 1.192047316E+00 1.189717526E+00
1.100000000E+01 1.197825906E+00 1.194940987E+00 1.192308147E+00 1.190001247E+00
1.116672606E+01 1.198061859E+00 1.195229855E+00 1.192615590E+00 1.190330839E+00
1.133324570E+01 1.198309857E+00 1.195519411E+00 1.192965672E+00 1.190748263E+00
1.149996187E+01 1.198604220E+00 1.195897379E+00 1.193422146E+00 1.191302348E+00
1.166670514E+01 1.198984407E+00 1.196382752E+00 1.194035194E+00 1.192050548E+00
1.183333839E+01 1.199498575E+00 1.197042663E+00 1.194868307E+00 1.193065314E+00
1.200000000E+01 1.200220721E+00 1.197941534E+00 1.195993138E+00 1.194402076E+00
1.216672606E+01 1.201191485E+00 1.199162044E+00 1.197486468E+00 1.196138251E+00
1.233324570E+01 1.202512397E+00 1.200804906E+00 1.199421240E+00 1.198331844E+00
1.249996187E+01 1.204273479E+00 1.202922997E+00 1.201853126E+00 1.201013460E+00
1.266670514E+01 1.206562401E+00 1.205591229E+00 1.204821870E+00 1.204182191E+00
1.283333839E+01 1.209427074E+00 1.208811650E+00 1.208295035E+00 1.207806914E+00
1.300000000E+01 1.212878963E+00 1.212558774E+00 1.212196584E+00 1.211816225E+00
