fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_290 001_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.179875171E-16 1.000000000E+20 1.233085124E+00 1.025559282E-16 7.611671012E-04 
001_290_SRH 001_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.251002424E-16 1.000000000E+20 1.247616027E+00 1.012388655E-16 1.310774412E-03 
002_290 002_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.737661469E-16 1.000000000E+20 1.240941952E+00 1.494679241E-16 9.159905482E-04 
002_290_SRH 002_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.811955201E-16 1.000000000E+20 1.247834101E+00 1.485699192E-16 1.323881695E-03 
003_290 003_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 3.525967665E-16 1.000000000E+20 1.243021674E+00 2.188515978E-16 1.029775342E-03 
003_290_SRH 003_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.609206172E-16 1.000000000E+20 1.248143091E+00 2.180202678E-16 1.343884637E-03 
004_290 004_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 4.631577531E-16 1.000000000E+20 1.244754325E+00 3.206499437E-16 1.132533816E-03 
004_290_SRH 004_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 3.726958851E-16 1.000000000E+20 1.248544023E+00 3.198931258E-16 1.370923743E-03 
005_290 005_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 6.153996049E-16 1.000000000E+20 1.246462678E+00 4.700291157E-16 1.235581612E-03 
005_290_SRH 005_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 5.265139854E-16 1.000000000E+20 1.249147638E+00 4.693783747E-16 1.414567472E-03 
006_290 006_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 8.199078771E-16 1.000000000E+20 1.248131963E+00 6.892861360E-16 1.345450653E-03 
006_290_SRH 006_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 7.331256005E-16 1.000000000E+20 1.250079415E+00 6.887404381E-16 1.480520670E-03 
007_290 007_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.086426638E-15 1.000000000E+20 1.249896264E+00 1.010984525E-15 1.468588910E-03 
007_290_SRH 007_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.002298716E-15 1.000000000E+20 1.251315105E+00 1.010569790E-15 1.571439302E-03 
008_290 008_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.421563252E-15 1.000000000E+20 1.251689039E+00 1.482694556E-15 1.606645712E-03 
008_290_SRH 008_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.340628310E-15 1.000000000E+20 1.252743340E+00 1.482457524E-15 1.686308243E-03 
009_290 009_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.827632023E-15 1.000000000E+20 1.254167626E+00 2.176100288E-15 1.798054208E-03 
009_290_SRH 009_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.750315954E-15 1.000000000E+20 1.254959908E+00 2.176091298E-15 1.861434982E-03 
010_290 010_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.302832943E-15 1.000000000E+20 1.256911679E+00 3.194460805E-15 2.028783005E-03 
010_290_SRH 010_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.229365640E-15 1.000000000E+20 1.257523385E+00 3.194768523E-15 2.080504192E-03 
011_290 011_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.845104212E-15 1.000000000E+20 1.260153855E+00 4.693051268E-15 2.316536730E-03 
011_290_SRH 011_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.775462221E-15 1.000000000E+20 1.260635230E+00 4.693789646E-15 2.359964543E-03 
012_290 012_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 3.457316817E-15 1.000000000E+20 1.263942347E+00 6.900714359E-15 2.662120589E-03 
012_290_SRH 012_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 3.391255012E-15 1.000000000E+20 1.264330594E+00 6.902021145E-15 2.699456672E-03 
013_290 013_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 4.151048597E-15 1.000000000E+20 1.268119452E+00 1.015362088E-14 3.068225356E-03 
013_290_SRH 013_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 4.088170614E-15 1.000000000E+20 1.268438563E+00 1.015558607E-14 3.100690664E-03 
014_290 014_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 4.943403353E-15 1.000000000E+20 1.272715881E+00 1.495435370E-14 3.532367044E-03 
014_290_SRH 014_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 4.883266384E-15 1.000000000E+20 1.272981247E+00 1.495714877E-14 3.560819059E-03 
015_290 015_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 5.855979276E-15 1.000000000E+20 1.277682326E+00 2.204342991E-14 4.048157627E-03 
015_290_SRH 015_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 5.798128803E-15 1.000000000E+20 1.277900096E+00 2.204701914E-14 4.073315684E-03 
016_290 016_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 6.909534489E-15 1.000000000E+20 1.282977084E+00 3.251917020E-14 4.611911550E-03 
016_290_SRH 016_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 6.853697223E-15 1.000000000E+20 1.283163434E+00 3.252416536E-14 4.633650192E-03 
017_290 017_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 8.120765097E-15 1.000000000E+20 1.288592106E+00 4.801299336E-14 5.219803527E-03 
017_290_SRH 017_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 8.066760288E-15 1.000000000E+20 1.288757433E+00 4.802077322E-14 5.238303662E-03 
018_290 018_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 9.505013625E-15 1.000000000E+20 1.294522873E+00 7.094363627E-14 5.867894467E-03 
018_290_SRH 018_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 9.452652422E-15 1.000000000E+20 1.294666584E+00 7.095472679E-14 5.883564763E-03 
019_290 019_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.098606364E-14 1.000000000E+20 1.299501146E+00 1.048497981E-13 6.483381215E-03 
019_290_SRH 019_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.093520760E-14 1.000000000E+20 1.299623689E+00 1.048654716E-13 6.496803161E-03 
