fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B106FE100_T 1317912114 0 555 5.029339309E-07 4.410000000E-01 1.941747985E-20 0.000000000E+00 2.200000000E+00 8.603077065E-05 
B106FE101_T 1317912114 0 555 5.202980991E-07 4.410000000E-01 1.079870169E-20 0.000000000E+00 2.200000000E+00 4.218858842E-04 
B106FE102_T 1317912114 0 555 5.484585596E-07 4.410000000E-01 1.089218311E-20 0.000000000E+00 2.200000000E+00 5.081753015E-04 
B106FE103_T 1317912114 0 555 5.933924634E-07 4.410000000E-01 9.104750145E-21 0.000000000E+00 2.200000000E+00 6.686674770E-04 
B106FE140_T 1317912114 0 555 5.075888858E-07 4.410000000E-01 1.633249695E-20 0.000000000E+00 2.200000000E+00 1.100237509E-04 
B106FE141_T 1317912114 0 555 5.233958356E-07 4.410000000E-01 1.070141530E-20 0.000000000E+00 2.200000000E+00 4.857693613E-04 
B106FE142_T 1317912114 0 555 5.569547288E-07 4.410000000E-01 1.123263676E-20 0.000000000E+00 2.200000000E+00 5.668449412E-04 
B106FE210_T 1317912114 0 555 5.111255651E-07 4.410000000E-01 1.424465263E-20 0.000000000E+00 2.200000000E+00 1.686806857E-04 
B106FE211_T 1317912114 0 555 5.265424853E-07 4.410000000E-01 1.056745884E-20 0.000000000E+00 2.200000000E+00 4.952273822E-04 
B106FE212_T 1317912114 0 555 5.629503044E-07 4.410000000E-01 1.072097758E-20 0.000000000E+00 2.200000000E+00 4.895327424E-04 
B106FE310_T 1317912114 0 555 5.138916897E-07 4.410000000E-01 1.283541805E-20 0.000000000E+00 2.200000000E+00 2.288447889E-04 
B106FE311_T 1317912114 0 555 5.301047923E-07 4.410000000E-01 1.040800387E-20 0.000000000E+00 2.200000000E+00 4.801739182E-04 
B106FE312_T 1317912114 0 555 5.686187542E-07 4.410000000E-01 9.897010446E-21 0.000000000E+00 2.200000000E+00 6.008776975E-04 
B106FE460_T 1317912114 0 555 5.161990630E-07 4.410000000E-01 1.188984255E-20 0.000000000E+00 2.200000000E+00 2.869402722E-04 
B106FE461_T 1317912114 0 555 5.347522691E-07 4.410000000E-01 1.031455000E-20 0.000000000E+00 2.200000000E+00 5.164337474E-04 
B106FE462_T 1317912114 0 555 5.743787999E-07 4.410000000E-01 8.843020482E-21 0.000000000E+00 2.200000000E+00 5.490648570E-04 
B106FE680_T 1317912114 0 555 5.183278516E-07 4.410000000E-01 1.126313169E-20 0.000000000E+00 2.200000000E+00 3.469845024E-04 
B106FE681_T 1317912114 0 555 5.409024727E-07 4.410000000E-01 1.053513844E-20 0.000000000E+00 2.200000000E+00 5.860945719E-04 
B106FE682_T 1317912114 0 555 5.804114896E-07 4.410000000E-01 7.911643312E-21 0.000000000E+00 2.200000000E+00 4.768000568E-04 
