d Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.500000000E+01 1.108635607E+00 1.041990146E+00 6.664546100E-02 1.108646383E+00 1.041765573E+00 6.688081000E-02 -1.077600000E-05 2.245730000E-04
150 1.549996187E+01 1.225021381E+00 1.075573536E+00 1.494478450E-01 1.224703405E+00 1.074684176E+00 1.500192290E-01 3.179760000E-04 8.893600000E-04
150 1.600000000E+01 1.256089399E+00 1.072314732E+00 1.837746670E-01 1.254967647E+00 1.070820234E+00 1.841474130E-01 1.121752000E-03 1.494498000E-03
150 1.649996187E+01 1.284999090E+00 1.066173261E+00 2.188258290E-01 1.281006651E+00 1.064010461E+00 2.169961900E-01 3.992439000E-03 2.162800000E-03
150 1.700000000E+01 1.322450369E+00 1.065316365E+00 2.571340040E-01 1.308984681E+00 1.062205510E+00 2.467791710E-01 1.346568800E-02 3.110855000E-03
180 1.500000000E+01 1.096657181E+00 1.032974873E+00 6.368230800E-02 1.096673346E+00 1.032815492E+00 6.385785400E-02 -1.616500000E-05 1.593810000E-04
180 1.549996187E+01 1.220540413E+00 1.069023062E+00 1.515173510E-01 1.220262016E+00 1.068260620E+00 1.520013960E-01 2.783970000E-04 7.624420000E-04
180 1.600000000E+01 1.253355394E+00 1.067398079E+00 1.859573150E-01 1.252386999E+00 1.066077649E+00 1.863093500E-01 9.683950000E-04 1.320430000E-03
180 1.649996187E+01 1.281528582E+00 1.062460181E+00 2.190684010E-01 1.278030478E+00 1.060492661E+00 2.175378170E-01 3.498104000E-03 1.967520000E-03
180 1.700000000E+01 1.319180171E+00 1.064036528E+00 2.551436430E-01 1.306845161E+00 1.061044302E+00 2.458008590E-01 1.233501000E-02 2.992226000E-03
210 1.500000000E+01 1.086857847E+00 1.025318148E+00 6.153969900E-02 1.086877677E+00 1.025207665E+00 6.167001200E-02 -1.983000000E-05 1.104830000E-04
210 1.549996187E+01 1.218467157E+00 1.064807555E+00 1.536596020E-01 1.218214056E+00 1.064132703E+00 1.540813530E-01 2.531010000E-04 6.748520000E-04
210 1.600000000E+01 1.250941952E+00 1.063235996E+00 1.877059560E-01 1.250073559E+00 1.062051712E+00 1.880218470E-01 8.683930000E-04 1.184284000E-03
210 1.649996187E+01 1.279578804E+00 1.060074924E+00 2.195038800E-01 1.276412752E+00 1.058238363E+00 2.181743890E-01 3.166052000E-03 1.836561000E-03
210 1.700000000E+01 1.315458420E+00 1.062710978E+00 2.527474420E-01 1.303859446E+00 1.059802357E+00 2.440570890E-01 1.159897400E-02 2.908621000E-03
240 1.500000000E+01 1.078122610E+00 1.186234911E+00 -1.081123010E-01 1.078145247E+00 1.186086464E+00 -1.079412170E-01 -2.263700000E-05 1.484470000E-04
240 1.549996187E+01 1.216013095E+00 1.203700580E+00 1.231251500E-02 1.215777609E+00 1.203366560E+00 1.241104900E-02 2.354860000E-04 3.340200000E-04
240 1.600000000E+01 1.248733545E+00 1.218964667E+00 2.976887800E-02 1.247932272E+00 1.218305806E+00 2.962646600E-02 8.012730000E-04 6.588610000E-04
240 1.649996187E+01 1.277976309E+00 1.225801017E+00 5.217529200E-02 1.275042585E+00 1.224670134E+00 5.037245100E-02 2.933724000E-03 1.130883000E-03
240 1.700000000E+01 1.314477375E+00 1.251144103E+00 6.333327200E-02 1.303414778E+00 1.248169320E+00 5.524545800E-02 1.106259700E-02 2.974783000E-03
