d Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.500000000E+01 1.097992018E+00 1.194897315E+00 -9.690529700E-02 1.098069078E+00 1.193449276E+00 -9.538019800E-02 -7.706000000E-05 1.448039000E-03
150 1.524993176E+01 1.188513376E+00 1.204968263E+00 -1.645488700E-02 1.187589239E+00 1.202788858E+00 -1.519961900E-02 9.241370000E-04 2.179405000E-03
150 1.549996187E+01 1.223443653E+00 1.210176556E+00 1.326709700E-02 1.221412219E+00 1.207158929E+00 1.425329000E-02 2.031434000E-03 3.017627000E-03
150 1.574996808E+01 1.241412269E+00 1.217430918E+00 2.398135100E-02 1.237753601E+00 1.213475343E+00 2.427825800E-02 3.658668000E-03 3.955575000E-03
150 1.600000000E+01 1.255185442E+00 1.223457579E+00 3.172786300E-02 1.248894663E+00 1.218578117E+00 3.031654600E-02 6.290779000E-03 4.879462000E-03
150 1.624993176E+01 1.268535388E+00 1.225335622E+00 4.319976600E-02 1.258050983E+00 1.219394188E+00 3.865679500E-02 1.048440500E-02 5.941434000E-03
150 1.649996187E+01 1.283771125E+00 1.226052274E+00 5.771885100E-02 1.266916674E+00 1.218660887E+00 4.825578700E-02 1.685445100E-02 7.391387000E-03
150 1.674996808E+01 1.300990704E+00 1.231026652E+00 6.996405200E-02 1.275111654E+00 1.221612505E+00 5.349914900E-02 2.587905000E-02 9.414147000E-03
150 1.700000000E+01 1.320555612E+00 1.242378415E+00 7.817719700E-02 1.282596238E+00 1.229671431E+00 5.292480700E-02 3.795937400E-02 1.270698400E-02
180 1.500000000E+01 1.080028466E+00 1.191431975E+00 -1.114035090E-01 1.080149578E+00 1.190213865E+00 -1.100642870E-01 -1.211120000E-04 1.218110000E-03
180 1.524993176E+01 1.180419782E+00 1.201994752E+00 -2.157497000E-02 1.179615427E+00 1.200138451E+00 -2.052302400E-02 8.043550000E-04 1.856301000E-03
180 1.549996187E+01 1.218092823E+00 1.207283699E+00 1.080912400E-02 1.216297688E+00 1.204687511E+00 1.161017700E-02 1.795135000E-03 2.596188000E-03
180 1.574996808E+01 1.238191816E+00 1.214592592E+00 2.359922400E-02 1.234958770E+00 1.211118615E+00 2.384015500E-02 3.233046000E-03 3.473977000E-03
180 1.600000000E+01 1.252079044E+00 1.220412697E+00 3.166634700E-02 1.246509319E+00 1.215999885E+00 3.050943400E-02 5.569725000E-03 4.412812000E-03
180 1.624993176E+01 1.265513570E+00 1.222205926E+00 4.330764400E-02 1.256115520E+00 1.216644036E+00 3.947148400E-02 9.398050000E-03 5.561890000E-03
180 1.649996187E+01 1.279881951E+00 1.222521255E+00 5.736069600E-02 1.264495061E+00 1.215397536E+00 4.909752500E-02 1.538689000E-02 7.123719000E-03
180 1.674996808E+01 1.295846133E+00 1.227489793E+00 6.835634000E-02 1.271720579E+00 1.218183848E+00 5.353673100E-02 2.412555400E-02 9.305945000E-03
180 1.700000000E+01 1.316730978E+00 1.239264502E+00 7.746647600E-02 1.280554581E+00 1.226846660E+00 5.370792100E-02 3.617639700E-02 1.241784200E-02
210 1.500000000E+01 1.063042998E+00 1.188132023E+00 -1.250890250E-01 1.063198468E+00 1.187062591E+00 -1.238641230E-01 -1.554700000E-04 1.069432000E-03
210 1.524993176E+01 1.173229758E+00 1.199342415E+00 -2.611265700E-02 1.172509132E+00 1.197699945E+00 -2.519081300E-02 7.206260000E-04 1.642470000E-03
210 1.549996187E+01 1.214948565E+00 1.204886302E+00 1.006226300E-02 1.213305645E+00 1.202468151E+00 1.083749400E-02 1.642920000E-03 2.418151000E-03
210 1.574996808E+01 1.234516516E+00 1.212120563E+00 2.239595300E-02 1.231565639E+00 1.208762855E+00 2.280278400E-02 2.950877000E-03 3.357708000E-03
210 1.600000000E+01 1.249226929E+00 1.218013879E+00 3.121305000E-02 1.244136033E+00 1.213899470E+00 3.023656300E-02 5.090896000E-03 4.114409000E-03
210 1.624993176E+01 1.263085384E+00 1.219563641E+00 4.352174300E-02 1.254418273E+00 1.214234771E+00 4.018350200E-02 8.667111000E-03 5.328870000E-03
210 1.649996187E+01 1.277474062E+00 1.219953147E+00 5.752091500E-02 1.263074477E+00 1.212960524E+00 5.011395300E-02 1.439958500E-02 6.992623000E-03
210 1.674996808E+01 1.293692384E+00 1.224808216E+00 6.888416800E-02 1.270688551E+00 1.215520303E+00 5.516824800E-02 2.300383300E-02 9.287913000E-03
210 1.700000000E+01 1.312447499E+00 1.236665190E+00 7.578230900E-02 1.277355457E+00 1.224118265E+00 5.323719200E-02 3.509204200E-02 1.254692500E-02
240 1.500000000E+01 1.046115219E+00 1.184964230E+00 -1.388490110E-01 1.046301388E+00 1.183999618E+00 -1.376982300E-01 -1.861690000E-04 9.646120000E-04
240 1.524993176E+01 1.166292284E+00 1.196921133E+00 -3.062884900E-02 1.165633734E+00 1.195424331E+00 -2.979059700E-02 6.585500000E-04 1.496802000E-03
240 1.549996187E+01 1.211242759E+00 1.202516904E+00 8.725855000E-03 1.209707238E+00 1.200401350E+00 9.305888000E-03 1.535521000E-03 2.115554000E-03
240 1.574996808E+01 1.232241153E+00 1.209611570E+00 2.262958300E-02 1.229479416E+00 1.206623429E+00 2.285598700E-02 2.761737000E-03 2.988141000E-03
240 1.600000000E+01 1.246514800E+00 1.215598639E+00 3.091616100E-02 1.241747855E+00 1.211597710E+00 3.015014500E-02 4.766945000E-03 4.000929000E-03
240 1.624993176E+01 1.261031038E+00 1.217290638E+00 4.374040000E-02 1.252868924E+00 1.212106859E+00 4.076206500E-02 8.162114000E-03 5.183779000E-03
240 1.649996187E+01 1.275379837E+00 1.217574116E+00 5.780572100E-02 1.261666026E+00 1.210478613E+00 5.118741300E-02 1.371381100E-02 7.095503000E-03
240 1.674996808E+01 1.291756827E+00 1.222724465E+00 6.903236200E-02 1.269542023E+00 1.212993812E+00 5.654821100E-02 2.221480400E-02 9.730653000E-03
240 1.700000000E+01 1.310913926E+00 1.235007368E+00 7.590655800E-02 1.276550651E+00 1.222385611E+00 5.416504000E-02 3.436327500E-02 1.262175700E-02
