fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B316FE100_T 1317912116 0 555 1.003654020E-04 8.450000000E-01 8.376481749E-15 0.000000000E+00 1.300000000E+00 6.981696486E-04 
B316FE101_T 1317912116 0 555 1.122395152E-04 8.450000000E-01 6.764590326E-16 0.000000000E+00 1.300000000E+00 4.039291611E-04 
B316FE102_T 1317912116 0 555 1.170204477E-04 8.450000000E-01 2.413475258E-29 0.000000000E+00 1.300000000E+00 5.733655617E-04 
B316FE103_T 1317912116 0 555 1.279215554E-04 8.450000000E-01 2.614002652E-15 0.000000000E+00 1.300000000E+00 1.300388755E-03 
B316FE140_T 1317912116 0 555 1.038145634E-04 8.450000000E-01 5.513653701E-15 0.000000000E+00 1.300000000E+00 3.102049404E-04 
B316FE141_T 1317912116 0 555 1.132173434E-04 8.450000000E-01 6.333385726E-16 0.000000000E+00 1.300000000E+00 5.351982450E-04 
B316FE142_T 1317912116 0 555 1.182435897E-04 8.450000000E-01 5.416397795E-30 0.000000000E+00 1.300000000E+00 3.808451946E-04 
B316FE210_T 1317912116 0 555 1.066194563E-04 8.450000000E-01 3.730340809E-15 0.000000000E+00 1.300000000E+00 4.064428946E-04 
B316FE211_T 1317912116 0 555 1.137883639E-04 8.450000000E-01 2.964094672E-16 0.000000000E+00 1.300000000E+00 4.772564687E-04 
B316FE212_T 1317912116 0 555 1.196702234E-04 8.450000000E-01 3.972920418E-18 0.000000000E+00 1.300000000E+00 5.630865783E-04 
B316FE310_T 1317912116 0 555 1.083742356E-04 8.450000000E-01 2.138495912E-15 0.000000000E+00 1.300000000E+00 5.089169621E-04 
B316FE311_T 1317912116 0 555 1.144383882E-04 8.450000000E-01 1.209996892E-16 0.000000000E+00 1.300000000E+00 4.081236222E-04 
B316FE312_T 1317912116 0 555 1.205098099E-04 8.450000000E-01 2.360938823E-38 0.000000000E+00 1.300000000E+00 4.642424814E-04 
B316FE460_T 1317912116 0 555 1.104907585E-04 8.450000000E-01 1.962398013E-15 0.000000000E+00 1.300000000E+00 4.072088308E-04 
B316FE461_T 1317912116 0 555 1.155510793E-04 8.450000000E-01 4.281778511E-16 0.000000000E+00 1.300000000E+00 5.347392254E-04 
B316FE462_T 1317912116 0 555 1.231501128E-04 8.450000000E-01 9.425877214E-16 0.000000000E+00 1.300000000E+00 8.012144842E-04 
B316FE680_T 1317912116 0 555 1.113842948E-04 8.450000000E-01 1.097989943E-15 0.000000000E+00 1.300000000E+00 4.178379578E-04 
B316FE681_T 1317912116 0 555 1.163367004E-04 8.450000000E-01 2.371974398E-16 0.000000000E+00 1.300000000E+00 6.025160104E-04 
B316FE682_T 1317912116 0 555 1.257156062E-04 8.450000000E-01 1.815783185E-15 0.000000000E+00 1.300000000E+00 1.103205857E-03 
