Ytrue por T Ypred RelError
1.000000e+00 0.000000e+00 5.000000e+02 1.210774e+02 1.200774e+02
1.000000e+00 2.000000e+00 5.000000e+02 3.549053e+01 3.449053e+01
1.000000e+00 4.000000e+00 5.000000e+02 2.493510e+01 2.393510e+01
1.000000e+00 6.000000e+00 5.000000e+02 1.923789e+01 1.823789e+01
1.000000e+00 8.000000e+00 5.000000e+02 1.597587e+01 1.497587e+01
1.000000e+00 1.000000e+01 5.000000e+02 1.362539e+01 1.262539e+01
1.000000e+00 1.200000e+01 5.000000e+02 1.164385e+01 1.064385e+01
1.000000e+00 1.400000e+01 5.000000e+02 1.015581e+01 9.155813e+00
1.000000e+00 1.600000e+01 5.000000e+02 9.029711e+00 8.029711e+00
1.000000e+00 1.800000e+01 5.000000e+02 8.087867e+00 7.087867e+00
1.000000e+00 2.000000e+01 5.000000e+02 7.275452e+00 6.275452e+00
1.000000e+00 2.200000e+01 5.000000e+02 6.567606e+00 5.567606e+00
1.000000e+00 2.400000e+01 5.000000e+02 5.946897e+00 4.946897e+00
1.000000e+00 2.600000e+01 5.000000e+02 5.399380e+00 4.399380e+00
1.000000e+00 2.800000e+01 5.000000e+02 4.913687e+00 3.913687e+00
1.000000e+00 3.000000e+01 5.000000e+02 4.480542e+00 3.480542e+00
1.000000e+00 3.200000e+01 5.000000e+02 4.092368e+00 3.092368e+00
1.000000e+00 3.400000e+01 5.000000e+02 3.742948e+00 2.742948e+00
1.000000e+00 3.600000e+01 5.000000e+02 3.427150e+00 2.427150e+00
1.000000e+00 3.800000e+01 5.000000e+02 3.140709e+00 2.140709e+00
1.000000e+00 4.000000e+01 5.000000e+02 2.880052e+00 1.880052e+00
1.000000e+00 4.200000e+01 5.000000e+02 2.642167e+00 1.642167e+00
1.000000e+00 4.400000e+01 5.000000e+02 2.424497e+00 1.424497e+00
1.000000e+00 4.600000e+01 5.000000e+02 2.224853e+00 1.224853e+00
1.000000e+00 4.800000e+01 5.000000e+02 2.041352e+00 1.041352e+00
1.000000e+00 5.000000e+01 5.000000e+02 1.872366e+00 8.723662e-01
1.000000e+00 5.200000e+01 5.000000e+02 1.716477e+00 7.164768e-01
1.000000e+00 5.400000e+01 5.000000e+02 1.572443e+00 5.724435e-01
1.000000e+00 5.600000e+01 5.000000e+02 1.439176e+00 4.391759e-01
1.000000e+00 5.800000e+01 5.000000e+02 1.315712e+00 3.157115e-01
1.000000e+00 6.000000e+01 5.000000e+02 1.201197e+00 2.011968e-01
1.000000e+00 6.200000e+01 5.000000e+02 1.094872e+00 9.487210e-02
1.000000e+00 6.400000e+01 5.000000e+02 9.960590e-01 3.941033e-03
1.000000e+00 6.600000e+01 5.000000e+02 9.041492e-01 9.585076e-02
1.000000e+00 6.800000e+01 5.000000e+02 8.185961e-01 1.814039e-01
1.000000e+00 7.000000e+01 5.000000e+02 7.389066e-01 2.610934e-01
1.000000e+00 7.200000e+01 5.000000e+02 6.646347e-01 3.353653e-01
1.000000e+00 7.400000e+01 5.000000e+02 5.953762e-01 4.046238e-01
1.000000e+00 7.600000e+01 5.000000e+02 5.307637e-01 4.692363e-01
1.000000e+00 7.800000e+01 5.000000e+02 4.704624e-01 5.295376e-01
1.000000e+00 8.000000e+01 5.000000e+02 4.141667e-01 5.858333e-01
