Ytrue por T Ypred RelError
1.000000e+00 8.000000e+01 3.000000e+02 5.074369e-01 4.925631e-01
1.000000e+00 8.000000e+01 3.100000e+02 5.026291e-01 4.973709e-01
1.000000e+00 8.000000e+01 3.200000e+02 4.978370e-01 5.021630e-01
1.000000e+00 8.000000e+01 3.300000e+02 4.930607e-01 5.069393e-01
1.000000e+00 8.000000e+01 3.400000e+02 4.882999e-01 5.117001e-01
1.000000e+00 8.000000e+01 3.500000e+02 4.835546e-01 5.164454e-01
1.000000e+00 8.000000e+01 3.600000e+02 4.788247e-01 5.211753e-01
1.000000e+00 8.000000e+01 3.700000e+02 4.741100e-01 5.258900e-01
1.000000e+00 8.000000e+01 3.800000e+02 4.694106e-01 5.305894e-01
1.000000e+00 8.000000e+01 3.900000e+02 4.647263e-01 5.352737e-01
1.000000e+00 8.000000e+01 4.000000e+02 4.600569e-01 5.399431e-01
1.000000e+00 8.000000e+01 4.100000e+02 4.554024e-01 5.445976e-01
1.000000e+00 8.000000e+01 4.200000e+02 4.507628e-01 5.492372e-01
1.000000e+00 8.000000e+01 4.300000e+02 4.461378e-01 5.538622e-01
1.000000e+00 8.000000e+01 4.400000e+02 4.415275e-01 5.584725e-01
1.000000e+00 8.000000e+01 4.500000e+02 4.369316e-01 5.630684e-01
1.000000e+00 8.000000e+01 4.600000e+02 4.323502e-01 5.676498e-01
1.000000e+00 8.000000e+01 4.700000e+02 4.277831e-01 5.722169e-01
1.000000e+00 8.000000e+01 4.800000e+02 4.232302e-01 5.767698e-01
1.000000e+00 8.000000e+01 4.900000e+02 4.186914e-01 5.813086e-01
1.000000e+00 8.000000e+01 5.000000e+02 4.141667e-01 5.858333e-01
1.000000e+00 8.000000e+01 5.100000e+02 4.096559e-01 5.903441e-01
1.000000e+00 8.000000e+01 5.200000e+02 4.051589e-01 5.948411e-01
1.000000e+00 8.000000e+01 5.300000e+02 4.006757e-01 5.993243e-01
1.000000e+00 8.000000e+01 5.400000e+02 3.962062e-01 6.037938e-01
1.000000e+00 8.000000e+01 5.500000e+02 3.917501e-01 6.082499e-01
1.000000e+00 8.000000e+01 5.600000e+02 3.873076e-01 6.126924e-01
1.000000e+00 8.000000e+01 5.700000e+02 3.828784e-01 6.171216e-01
1.000000e+00 8.000000e+01 5.800000e+02 3.784625e-01 6.215375e-01
1.000000e+00 8.000000e+01 5.900000e+02 3.740598e-01 6.259402e-01
1.000000e+00 8.000000e+01 6.000000e+02 3.696701e-01 6.303299e-01
1.000000e+00 8.000000e+01 6.100000e+02 3.652935e-01 6.347065e-01
1.000000e+00 8.000000e+01 6.200000e+02 3.609298e-01 6.390702e-01
1.000000e+00 8.000000e+01 6.300000e+02 3.565788e-01 6.434212e-01
1.000000e+00 8.000000e+01 6.400000e+02 3.522406e-01 6.477594e-01
1.000000e+00 8.000000e+01 6.500000e+02 3.479151e-01 6.520849e-01
1.000000e+00 8.000000e+01 6.600000e+02 3.436020e-01 6.563980e-01
1.000000e+00 8.000000e+01 6.700000e+02 3.393014e-01 6.606986e-01
1.000000e+00 8.000000e+01 6.800000e+02 3.350132e-01 6.649868e-01
1.000000e+00 8.000000e+01 6.900000e+02 3.307372e-01 6.692628e-01
1.000000e+00 8.000000e+01 7.000000e+02 3.264734e-01 6.735266e-01
1.000000e+00 8.000000e+01 7.100000e+02 3.222217e-01 6.777783e-01
1.000000e+00 8.000000e+01 7.200000e+02 3.179820e-01 6.820180e-01
1.000000e+00 8.000000e+01 7.300000e+02 3.137542e-01 6.862458e-01
1.000000e+00 8.000000e+01 7.400000e+02 3.095382e-01 6.904618e-01
1.000000e+00 8.000000e+01 7.500000e+02 3.053340e-01 6.946660e-01
1.000000e+00 8.000000e+01 7.600000e+02 3.011414e-01 6.988586e-01
1.000000e+00 8.000000e+01 7.700000e+02 2.969603e-01 7.030397e-01
1.000000e+00 8.000000e+01 7.800000e+02 2.927908e-01 7.072092e-01
1.000000e+00 8.000000e+01 7.900000e+02 2.886326e-01 7.113674e-01
1.000000e+00 8.000000e+01 8.000000e+02 2.844857e-01 7.155143e-01
1.000000e+00 8.000000e+01 8.100000e+02 2.803500e-01 7.196500e-01
1.000000e+00 8.000000e+01 8.200000e+02 2.762254e-01 7.237746e-01
1.000000e+00 8.000000e+01 8.300000e+02 2.721119e-01 7.278881e-01
1.000000e+00 8.000000e+01 8.400000e+02 2.680093e-01 7.319907e-01
1.000000e+00 8.000000e+01 8.500000e+02 2.639176e-01 7.360824e-01
1.000000e+00 8.000000e+01 8.600000e+02 2.598366e-01 7.401634e-01
1.000000e+00 8.000000e+01 8.700000e+02 2.557664e-01 7.442336e-01
1.000000e+00 8.000000e+01 8.800000e+02 2.517068e-01 7.482932e-01
1.000000e+00 8.000000e+01 8.900000e+02 2.476577e-01 7.523423e-01
1.000000e+00 8.000000e+01 9.000000e+02 2.436191e-01 7.563809e-01
1.000000e+00 8.000000e+01 9.100000e+02 2.395908e-01 7.604092e-01
1.000000e+00 8.000000e+01 9.200000e+02 2.355729e-01 7.644271e-01
1.000000e+00 8.000000e+01 9.300000e+02 2.315651e-01 7.684349e-01
1.000000e+00 8.000000e+01 9.400000e+02 2.275675e-01 7.724325e-01
1.000000e+00 8.000000e+01 9.500000e+02 2.235799e-01 7.764201e-01
1.000000e+00 8.000000e+01 9.600000e+02 2.196022e-01 7.803978e-01
1.000000e+00 8.000000e+01 9.700000e+02 2.156345e-01 7.843655e-01
1.000000e+00 8.000000e+01 9.800000e+02 2.116765e-01 7.883235e-01
1.000000e+00 8.000000e+01 9.900000e+02 2.077283e-01 7.922717e-01
1.000000e+00 8.000000e+01 1.000000e+03 2.037897e-01 7.962103e-01
