fname time Tem kT_1 n0 Eefo E_B E_T Tm dev 
B175FE100_T 1317912114 0 555 4.805930327E-07 1.869000000E+00 8.610437563E+02 0.000000000E+00 2.200000000E+00 1.794812512E-03 
B175FE101_T 1317912114 0 555 4.898724557E-07 1.869000000E+00 8.229441960E+02 0.000000000E+00 2.200000000E+00 1.967474658E-03 
B175FE102_T 1317912114 0 555 4.978301156E-07 1.869000000E+00 6.729169948E+02 0.000000000E+00 2.200000000E+00 2.098219833E-03 
B175FE103_T 1317912114 0 555 5.071404460E-07 1.869000000E+00 3.641651166E+02 0.000000000E+00 2.200000000E+00 2.124726996E-03 
B175FE140_T 1317912114 0 555 4.838005135E-07 1.869000000E+00 8.576277285E+02 0.000000000E+00 2.200000000E+00 1.790139538E-03 
B175FE141_T 1317912114 0 555 4.903581293E-07 1.869000000E+00 8.062005104E+02 0.000000000E+00 2.200000000E+00 1.913966492E-03 
B175FE142_T 1317912114 0 555 5.000633711E-07 1.869000000E+00 6.431612386E+02 0.000000000E+00 2.200000000E+00 1.812459797E-03 
B175FE210_T 1317912114 0 555 4.861419525E-07 1.869000000E+00 8.536097988E+02 0.000000000E+00 2.200000000E+00 1.795869669E-03 
B175FE211_T 1317912114 0 555 4.911053260E-07 1.869000000E+00 7.924340693E+02 0.000000000E+00 2.200000000E+00 1.952752711E-03 
B175FE212_T 1317912114 0 555 5.020203352E-07 1.869000000E+00 5.655835051E+02 0.000000000E+00 2.200000000E+00 1.192256157E-03 
B175FE310_T 1317912114 0 555 4.875604500E-07 1.869000000E+00 8.471353430E+02 0.000000000E+00 2.200000000E+00 1.811177950E-03 
B175FE311_T 1317912114 0 555 4.917854469E-07 1.869000000E+00 7.577242232E+02 0.000000000E+00 2.200000000E+00 2.085606998E-03 
B175FE312_T 1317912114 0 555 5.043060124E-07 1.869000000E+00 4.902209219E+02 0.000000000E+00 2.200000000E+00 1.272169885E-03 
B175FE460_T 1317912114 0 555 4.884994672E-07 1.869000000E+00 8.390326580E+02 0.000000000E+00 2.200000000E+00 1.828075623E-03 
B175FE461_T 1317912114 0 555 4.931329554E-07 1.869000000E+00 7.240208065E+02 0.000000000E+00 2.200000000E+00 2.129893616E-03 
B175FE462_T 1317912114 0 555 5.054373013E-07 1.869000000E+00 4.310345317E+02 0.000000000E+00 2.200000000E+00 1.664540633E-03 
B175FE680_T 1317912114 0 555 4.891573607E-07 1.869000000E+00 8.298102260E+02 0.000000000E+00 2.200000000E+00 1.856593514E-03 
B175FE681_T 1317912114 0 555 4.951151957E-07 1.869000000E+00 6.897987344E+02 0.000000000E+00 2.200000000E+00 2.180356045E-03 
B175FE682_T 1317912114 0 555 5.062958713E-07 1.869000000E+00 3.922041542E+02 0.000000000E+00 2.200000000E+00 1.921655268E-03 
