fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 rmsre
d73a0V4n1Nt 4.2572705E+14 3.0078653E-1 2.2512776E-2 1.6777607E+14 3.3720497E-1 3.3033131E-2 3.2387747E+16 6.1972451E-1 8.1227399E-2 1.8108863E-1
d53c0V4n1Nt 5.3198946E+13 2.8930640E-1 1.2607945E-2 2.9090639E+14 3.3309059E-1 3.2406044E-2 2.4430886E+15 4.1966581E-1 2.8912677E-2 8.3675695E-2
d51d0V4n1Nt 2.5891612E+14 3.5787736E-1 1.8277764E-2 3.4421203E+14 3.7745256E-1 2.1255455E-2 2.8310514E+15 4.2733148E-1 6.3811153E-2 1.8045907E-1
d51c0V4n1Nt 4.1260549E+14 3.5862017E-1 1.9345524E-2 1.4986767E+15 3.8744366E-1 5.1435286E-2 6.3813359E+12 4.1187079E-1 4.6305456E-3 1.8156872E-1
d51b0V4n1Nt 6.7477640E+13 2.9905983E-1 1.9849454E-2 7.3062355E+14 3.6806063E-1 2.8353813E-2 1.4519167E+14 4.1806613E-1 1.3856868E-2 1.1058085E-1
d43s0V4n1Nt 8.2296424E+13 3.0004215E-1 1.9521225E-2 7.0113818E+14 3.5706872E-1 2.3100670E-2 1.2590416E+14 4.1323283E-1 1.8382604E-2 1.0602491E-1
d43b0V4n1Nt 1.9980814E+13 2.9044870E-1 1.1080210E-2 1.6915859E+14 3.3166119E-1 3.1471062E-2 8.9312669E+14 4.4797441E-1 5.7639860E-2 8.3636845E-2
fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 rmsre
d82b0V4n1Nt 2.3583114E+13 2.8589211E-1 7.2110162E-3 6.4563276E+13 3.0170049E-1 1.4687896E-2 1.7844052E+14 3.2931794E-1 2.5473094E-2 3.4794625E+14 4.1415145E-1 5.1933479E-2 2.6979373E-2
d82a0V4n1Nt 4.2617459E+13 2.8463250E-1 6.8346524E-3 1.1280374E+14 2.9784906E-1 1.3151499E-2 1.1343502E+14 3.1717176E-1 2.2285289E-2 4.2889063E+16 6.6919252E-1 9.6174867E-2 2.6843721E-2
d73c0V4n1Nt 6.2678860E+13 2.8272491E-1 7.0569626E-3 1.4042320E+14 2.9623999E-1 1.3748510E-2 1.7243281E+14 3.2702925E-1 3.0833347E-2 5.1480775E+16 6.9273708E-1 1.0922129E-1 2.8093604E-2
d73b0V4n1Nt 5.8186379E+13 2.8364397E-1 7.4588614E-3 1.9270116E+14 2.9899333E-1 1.4730558E-2 1.7997487E+14 3.2422608E-1 2.5984083E-2 5.9208751E+16 6.7523488E-1 9.5810141E-2 3.3702326E-2
d73a0V4n1Nt 3.2739527E+14 2.9823550E-1 2.1004152E-2 1.7996001E+14 3.2003085E-1 2.6097096E-2 1.0252852E+16 5.0351910E-1 3.0651489E-2 1.3585052E+16 6.7223399E-1 1.2397556E-1 1.7676365E-1
d53c0V4n1Nt 3.9091689E+13 2.9124589E-1 1.6047348E-2 1.7651798E+14 3.3188174E-1 4.2496644E-2 1.6810285E+15 4.1646634E-1 2.5372420E-2 4.0253190E+16 8.2635533E-1 1.7956978E-1 2.0888804E-1
d53b0V4n1Nt 7.1273318E+12 2.8303442E-1 6.4484730E-3 2.4821144E+13 2.9907595E-1 1.4019245E-2 8.9597227E+13 3.3244291E-1 2.9192709E-2 4.4416226E+14 4.3681280E-1 5.9139391E-2 3.0251289E-2
d53a0V4n1Nt 1.0040784E+13 2.8813029E-1 1.0894064E-2 5.9205919E+13 3.2062714E-1 2.3935572E-2 1.4076034E+14 3.7756104E-1 3.5378022E-2 2.0173262E+13 4.1272420E-1 1.0841653E-2 6.3141390E-2
d51d0V4n1Nt 2.2288583E+13 2.8868181E-1 1.1055046E-2 2.6231361E+14 3.6350753E-1 1.8104967E-2 2.1176326E+15 3.9259036E-1 4.3254188E-2 1.0639358E+16 4.9518157E-1 2.6454966E-2 7.4160569E-2
d51c0V4n1Nt 1.6285683E+13 2.8408251E-1 8.1219869E-3 7.9071312E+13 3.0569708E-1 1.6764596E-2 9.1136948E+14 3.5838121E-1 2.3903203E-2 1.1021177E+15 4.2393564E-1 4.2422978E-2 2.6326209E-2
d51b0V4n1Nt 1.0952131E+13 2.8392143E-1 7.8029837E-3 5.4910567E+13 3.0486677E-1 1.7234573E-2 7.2250867E+14 3.6783536E-1 2.8029493E-2 1.6812249E+14 4.1950012E-1 1.4930309E-2 2.6835965E-2
d51a0V4n1Nt 1.2204291E+13 2.8551462E-1 8.4375510E-3 3.8745495E+13 3.0561777E-1 1.8049304E-2 1.0225561E+14 3.4123238E-1 2.9334790E-2 3.2096891E+14 4.1136129E-1 4.6283836E-2 4.1606917E-2
d43s0V4n1Nt 7.8954207E+13 2.9935573E-1 1.9142330E-2 7.1260454E+14 3.5727466E-1 2.3414890E-2 3.7765082E+13 4.0037989E-1 1.1497241E-2 6.7101467E+16 5.2658243E-1 3.3498131E-2 1.0427923E-1
d43b0V4n1Nt 1.0685853E+13 2.8442170E-1 6.9090937E-3 2.8083012E+13 2.9954512E-1 1.4057591E-2 1.5672478E+14 3.3647377E-1 2.8460710E-2 7.5237139E+14 4.3863477E-1 5.1527915E-2 2.6399031E-2
fname A1 X01 Sig1 A2 X02 Sig2 A3 X03 Sig3 A4 X04 Sig4 A5 X05 Sig5 rmsre
d82b0V4n1Nt 1.1515995E+13 2.8283478E-1 5.2341375E-3 3.0138622E+13 2.9171614E-1 9.3759126E-3 8.0439374E+13 3.0814215E-1 1.6808051E-2 1.5879601E+14 3.3522607E-1 2.5570785E-2 3.4917697E+14 4.2018992E-1 5.1015549E-2 9.5430150E-3
d82a0V4n1Nt 3.0066544E+13 2.8336728E-1 5.8556492E-3 7.4101042E+13 2.9354627E-1 1.0577260E-2 1.2807178E+14 3.0909471E-1 1.7890188E-2 1.9243714E+14 3.8670952E-1 5.6318774E-2 1.8595423E+15 4.8011834E-1 3.8192250E-2 1.7079644E-2
d73c0V4n1Nt 3.2424295E+13 2.8031139E-1 5.2158466E-3 7.3595408E+13 2.8916773E-1 9.0253170E-3 1.1703733E+14 3.0238684E-1 1.6062385E-2 3.4111480E+14 3.5441555E-1 4.7516155E-2 1.2121292E+15 4.5875891E-1 3.5516973E-2 1.2366087E-2
d73b0V4n1Nt 3.3430071E+13 2.8118635E-1 5.7252004E-3 9.6237419E+13 2.9171801E-1 1.0572132E-2 1.9155928E+14 3.0717487E-1 1.7569825E-2 1.8252605E+14 3.4665096E-1 3.5637502E-2 1.6442959E+15 4.6976576E-1 3.8442483E-2 1.4445562E-2
d53b0V4n1Nt 8.7517511E+12 2.8226974E-1 6.9478450E-3 3.4050443E+13 2.9839417E-1 1.4200774E-2 7.1013484E+13 3.2910738E-1 2.2330109E-2 1.2114644E+14 3.7731974E-1 3.0805859E-2 9.5652949E+15 5.9103413E-1 7.0002688E-2 1.7167741E-2
d53a0V4n1Nt 1.0121401E+13 2.8821280E-1 1.0958674E-2 6.0575463E+13 3.2104621E-1 2.4110904E-2 1.4135233E+14 3.7859693E-1 3.5488827E-2 5.2983246E+12 4.0340581E-1 6.8120954E-3 6.6162505E+15 4.7322181E-1 1.9036033E-2 6.3741255E-2
d51d0V4n1Nt 2.3185106E+13 2.8875850E-1 1.1282254E-2 2.6649202E+14 3.6374054E-1 1.8201530E-2 1.9713855E+15 3.9015360E-1 4.2453633E-2 2.9850228E+14 4.4432819E-1 1.2450652E-2 5.0684415E+16 6.6416209E-1 8.2201262E-2 7.4755675E-2
d51b0V4n1Nt 4.7580924E+12 2.8401701E-1 5.8394362E-3 5.8050952E+13 3.0091040E-1 1.8798858E-2 7.4321162E+14 3.6837687E-1 2.8859248E-2 5.7943688E+13 4.0911802E-1 9.9729677E-3 9.8319615E+16 4.7816307E-1 1.7465946E-2 4.9879682E-2
d51a0V4n1Nt 7.1289353E+12 2.8228373E-1 6.1970353E-3 1.7425349E+13 2.9457890E-1 1.1420115E-2 5.4046745E+13 3.1851608E-1 2.0985343E-2 1.8410749E+14 3.6788909E-1 3.6289687E-2 5.9850508E+15 6.2679021E-1 9.5277901E-2 1.6540794E-2
