fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 36708 339.66 34.135 1.000000000E+00 6.076545944E-01 2.250059872E-08 1.444609087E+03 1.502707748E+00 4.983798390E-07 1.750297402E-04 1.836911320E-01 1.630082947E-04 3.684229641E-01 1.103175445E-05 1.094373151E-01 9.903527952E-05 1.016493578E-01 
00L2 36838 339.71 34.13 1.000000000E+00 9.849326651E-01 3.276468210E-08 7.665686795E+03 5.000000000E+00 5.068787895E-05 1.678209551E-04 1.854688107E-01 1.627672442E-04 3.783929834E-01 1.142302092E-05 1.099313866E-01 1.013734349E-04 1.166716675E-01 
00L3 36936 339.77 34.124 1.000000000E+00 6.214633026E-01 2.388392943E-08 1.476137243E+03 1.584921053E+00 6.778662161E-07 1.745433085E-04 1.832807678E-01 1.630779500E-04 3.674204607E-01 1.098184921E-05 1.089721825E-01 9.895246577E-05 9.695609066E-02 
00L4 37034 339.79 34.122 1.000000000E+00 6.751535255E-01 2.791327038E-08 2.498523303E+03 2.485280937E+00 6.464610879E-06 1.655411365E-04 1.854968552E-01 1.629647900E-04 3.644761316E-01 1.101791520E-05 1.088988243E-01 9.932747030E-05 1.107339860E-01 
00L5 37134 339.84 34.117 1.000000000E+00 6.746796613E-01 2.806409459E-08 2.580740690E+03 2.535569695E+00 7.165003328E-06 1.654110506E-04 1.832871719E-01 1.628032930E-04 3.678419845E-01 1.097631475E-05 1.086983306E-01 9.912608610E-05 7.835348249E-02 
00L6 37238 339.88 34.113 1.000000000E+00 6.604490950E-01 2.676992476E-08 1.637215602E+03 1.888630996E+00 1.700460480E-06 1.722219595E-04 1.829235996E-01 1.624197717E-04 3.680601765E-01 1.093521849E-05 1.091988883E-01 9.833372365E-05 6.564242194E-02 
00L7 37338 339.88 34.113 1.000000000E+00 6.404912828E-01 2.527100195E-08 1.545297580E+03 1.700039291E+00 1.016383869E-06 1.735910736E-04 1.833096725E-01 1.628198234E-04 3.676426855E-01 1.097282848E-05 1.089871315E-01 9.885276728E-05 7.104689816E-02 
00L8 37458 340.05 34.096 1.000000000E+00 7.058276133E-01 1.229775045E-08 1.360857020E+03 1.203925713E+00 2.120931602E-07 1.390597495E-04 1.594557621E-01 1.257863647E-04 3.253201072E-01 6.525062715E-06 9.252526503E-02 7.594285222E-05 3.007642913E-01 
00L9 37580 339.78 34.123 1.000000000E+00 8.114580305E-01 3.160640290E-08 1.825454384E+03 1.911251087E+00 2.189817873E-06 1.375074661E-04 1.631985561E-01 1.296120462E-04 3.356066011E-01 7.098918226E-06 9.491746902E-02 7.798111218E-05 5.791588223E-02 
0L10 37682 339.84 34.117 1.000000000E+00 6.641805774E-01 7.163390121E-09 1.354840848E+03 1.172714276E+00 1.729049049E-07 1.460348984E-04 1.652544704E-01 1.326571728E-04 3.437584781E-01 7.535938964E-06 9.650114698E-02 7.986856249E-05 6.813089383E-02 
0L11 37784 339.88 34.113 1.000000000E+00 6.866927457E-01 1.541988639E-08 1.303832866E+03 1.231465638E+00 1.973653286E-07 1.509810089E-04 1.677805943E-01 1.365901815E-04 3.496278383E-01 8.012484742E-06 9.804227982E-02 8.230238361E-05 9.484466373E-02 
0L12 37880 339.94 34.107 1.000000000E+00 6.828611903E-01 1.669639029E-08 1.313390229E+03 1.249497650E+00 2.097359580E-07 1.532849088E-04 1.695155758E-01 1.389339109E-04 3.548748209E-01 8.357820825E-06 9.946937332E-02 8.368955042E-05 8.077000515E-02 
0L13 37982 339.96 34.105 1.000000000E+00 6.809913925E-01 1.871735755E-08 1.322234490E+03 1.285370107E+00 2.380151786E-07 1.560057313E-04 1.712163651E-01 1.415213465E-04 3.564701540E-01 8.637546498E-06 9.991905746E-02 8.587180523E-05 7.217693925E-02 
0L14 38080 339.97 34.104 1.000000000E+00 6.805396887E-01 2.038882500E-08 1.340192432E+03 1.329916089E+00 2.840430407E-07 1.585993208E-04 1.729657635E-01 1.447120462E-04 3.600679174E-01 9.012582629E-06 1.014764157E-01 8.758054879E-05 6.373622364E-02 
0L15 38180 339.97 34.104 1.000000000E+00 7.591403866E-01 2.952145709E-08 2.107797885E+03 2.198014410E+00 4.068102200E-06 1.531044027E-04 1.742545628E-01 1.468530829E-04 3.613265274E-01 9.246280704E-06 1.022944328E-01 8.890116931E-05 6.304794246E-02 
0L16 38282 340 34.101 1.000000000E+00 6.598447361E-01 1.978469958E-08 1.361129010E+03 1.330673679E+00 2.812462875E-07 1.624288603E-04 1.756551498E-01 1.490980495E-04 3.632236478E-01 9.512769302E-06 1.030850654E-01 9.063482936E-05 6.473230862E-02 
0L17 38380 340 34.101 1.000000000E+00 6.143041873E-01 4.181816968E-14 1.147071639E+03 1.118645023E+00 1.189846529E-07 1.765633848E-04 1.767214432E-01 1.509519334E-04 3.653756706E-01 9.746923443E-06 1.046258461E-01 9.122214662E-05 1.355903761E-01 
