T nFsrh nFBsrh dnsrh nF nFB dn
290 1.200542576E+00 1.020649103E+0 1.798934730E-01 1.200542576E+00 1.020649103E+0 1.798934730E-01
295 1.209657449E+00 1.020141690E+0 1.895157590E-01 1.209657449E+00 1.020141690E+0 1.895157590E-01
300 1.207972039E+00 1.019668578E+0 1.883034610E-01 1.207972039E+00 1.019668578E+0 1.883034610E-01
305 1.216866225E+00 1.019226785E+0 1.976394400E-01 1.216866225E+00 1.019226785E+0 1.976394400E-01
310 1.215443092E+00 1.018813651E+0 1.966294410E-01 1.215443092E+00 1.018813651E+0 1.966294410E-01
315 1.218531212E+00 1.018426794E+0 2.001044180E-01 1.218531212E+00 1.018426794E+0 2.001044180E-01
320 1.226912980E+00 1.018064080E+0 2.088489000E-01 1.226912980E+00 1.018064080E+0 2.088489000E-01
325 1.230193375E+00 1.017723588E+0 2.124697870E-01 1.230193375E+00 1.017723588E+0 2.124697870E-01
330 1.237538195E+00 1.017403590E+0 2.201346050E-01 1.237538195E+00 1.017403590E+0 2.201346050E-01
335 1.244202917E+00 1.017102524E+0 2.271003930E-01 1.244202917E+00 1.017102524E+0 2.271003930E-01
340 1.245014845E+00 1.016818977E+0 2.281958680E-01 1.245014845E+00 1.016818977E+0 2.281958680E-01
